"gene_id","FM2_5_1","FM2_5_2","FM2_5_3","FM2_5_4","FM2_5_5","FM2_5_6","R20291_1","R20291_2","R20291_3","R20291_4","R20291_5","R20291_6","Rv189_1","Rv189_2","Rv189_3","Rv189_4","Rv189_5","Rv189_6","Rv9_1","Rv9_2","Rv9_3","Rv9_4","Rv9_5","Rv9_6"
"gene-CDR20291_RS16855",24650,31177,19126,5625,6742,5781,46324,4195,6809,5229,6391,4785,47748,14906,12849,5166,8223,2525,3685,34116,10231,5182,6619,4333
"gene-CDR20291_RS16860",1525,1868,1391,365,236,283,1454,2013,2144,315,250,265,2021,1145,1274,321,351,140,638,1657,1517,305,262,208
"gene-CDR20291_RS16865",98495,111232,85448,19445,19779,16341,158621,16197,21227,16842,18905,16519,193214,66793,45763,14043,23271,10101,12150,122790,37586,15886,18941,15499
"gene-CDR20291_RS01985",193,333,319,19,126,36,106,991,1530,23,74,22,471,279,387,45,60,44,435,172,285,82,120,67
"gene-CDR20291_RS16870",2501,2749,1660,298,555,380,3742,3508,5146,264,274,383,3559,1311,2730,302,385,191,783,3477,3162,305,455,321
"gene-CDR20291_RS16875",16057,19123,13563,5475,12530,5851,23120,30620,42631,4676,6530,5072,33694,30787,43244,5897,9746,3468,14832,21473,33925,5040,8441,6786
"gene-CDR20291_RS16880",1290,2114,1873,302,1660,298,2527,4982,6625,384,673,379,3164,2585,2386,398,664,205,869,2369,2622,403,917,789
"gene-CDR20291_RS16885",2891,3080,1388,160,2067,197,614,21058,16443,177,226,1415,4363,2562,11627,507,367,261,10915,1886,6088,293,163,2019
"gene-CDR20291_RS16890",7368,9187,6706,1488,1483,1390,7141,6206,6516,1215,1103,1432,9937,8612,13122,1263,1689,935,1696,8415,13030,1323,1356,1482
"gene-CDR20291_RS16895",1538,2307,1382,500,301,401,1795,1338,1811,388,396,282,2727,1803,2035,381,512,149,266,2533,3078,415,618,245
"gene-CDR20291_RS16900",19806,30107,36285,4863,17158,3476,20868,55497,58451,4596,3760,4582,33337,47574,39752,8904,7265,6278,25448,18675,31120,6689,3777,9060
"gene-CDR20291_RS16905",6099,8023,4922,1044,1337,1087,10700,11922,15753,1068,1088,1370,9745,4662,8801,1385,1488,600,5205,8297,10192,1236,1078,1277
"gene-CDR20291_RS16910",84,111,105,8,15,11,96,146,221,18,15,22,138,110,85,17,23,19,45,82,112,14,31,19
"gene-CDR20291_RS16915",373,562,332,55,34,66,353,408,759,47,66,52,637,345,321,53,72,31,33,447,296,58,94,76
"gene-CDR20291_RS01990",9,24,35,2,4,1,3,194,270,3,2,3,45,13,19,3,6,0,141,39,37,2,2,4
"gene-CDR20291_RS16920",1352,1799,1658,276,250,202,1020,678,904,179,174,215,1713,1395,1801,194,276,234,545,1431,1295,194,152,201
"gene-CDR20291_RS16925",323,459,186,38,60,66,386,430,675,55,66,28,662,145,449,69,90,22,121,564,368,95,97,87
"gene-CDR20291_RS16930",109,201,159,14,10,17,156,349,353,19,25,23,209,73,84,37,36,15,48,246,145,16,33,20
"gene-CDR20291_RS16935",95,201,175,23,13,36,213,157,314,25,28,22,204,95,110,27,22,20,86,263,168,35,34,25
"gene-CDR20291_RS16940",5459,8688,7163,828,1976,667,8319,11338,11344,1084,736,1654,8702,7320,8903,1157,961,1151,2725,7735,9689,1093,544,2192
"gene-CDR20291_RS16945",1996,2311,1729,221,325,233,2509,3596,5324,295,284,184,3373,1107,1410,190,371,144,656,2888,3717,270,387,248
"gene-CDR20291_RS16950",1090,1771,1174,184,90,169,931,147,358,199,178,106,1227,449,607,178,235,54,3,1886,1747,238,125,150
"gene-CDR20291_RS16955",292,336,323,37,20,52,160,816,1857,43,77,25,331,183,166,39,31,38,66,421,415,47,58,19
"gene-CDR20291_RS16960",25,16,22,0,6,6,23,69,64,7,4,3,34,29,49,1,7,0,16,16,47,7,1,12
"gene-CDR20291_RS16965",65,80,55,16,13,2,54,92,184,24,11,11,45,57,98,14,13,7,71,57,178,12,10,9
"gene-CDR20291_RS01995",2629,3389,2501,397,278,344,1566,1228,1804,346,400,321,1882,1440,2380,351,416,168,819,3340,2002,368,357,240
"gene-CDR20291_RS16970",474,585,410,311,518,380,499,1676,2511,185,196,359,777,1270,2636,329,406,150,500,578,1800,303,323,423
"gene-CDR20291_RS16975",60,53,28,10,10,12,14,279,281,9,13,4,74,88,107,5,11,11,90,45,129,15,16,9
"gene-CDR20291_RS16980",747,845,665,135,338,251,1011,2661,5407,132,260,129,3183,1811,1755,246,186,236,410,1068,2548,266,877,271
