"gene_id","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12"
"CD630_02200",1366.5,1269.5,1076.5,1708.5,2144.5,1073.5,760,806.5,792.5,820.5,787,754.5
"CD630_02210",1690.5,1653.5,1283,2025.5,2647,1357.5,899,903.5,986,912,1006.5,906
"CD630_02220",716,659,514,783,1077,553.5,386.5,382.5,418.5,408.5,379.5,342.5
"CD630_02230",2162.5,2040.5,1678.5,2627,3448,1616,1184,1257.5,1388.5,1388,1246,1170
"CD630_02240",1400,1279,1089,1583.5,2108,1105.5,801.5,808.5,828,802.5,834,807
"CD630_02250",6940.5,6372.5,5485,7849.5,10666.5,5469.5,3795.5,4171,4423,4203.5,4012.5,4004.5
"CD630_02260",6642,5770,6001,8304.5,10510.5,5757,2277.5,2173,2693,3315.5,3616,2980.5
"CD630_02270",3173,2723.5,2879,3960.5,4738.5,2948.5,1199,1105,1305,1548.5,1627.5,1415.5
"CD630_02280",3801,3346.5,3367,4510,5885,3163.5,1321.5,1293,1604,2062,1974.5,1756
"CD630_02290",520,512,568,625,973.5,521,204,147,191,202,289,225.5
"CD630_02300",3499,3008,2936.5,3433.5,5533,2912.5,1051,1098.5,1293.5,1539.5,1887,1596
"CD630_02310",19648,19399,18161,26187.5,32609.5,18124,5610,6190,7389,9353,8794.5,8164.5
"CD630_02320",17634,19081.5,16631.5,24197.5,31234,17026.5,5223.5,5613.5,6319.5,8064.5,7636.5,6602
"CD630_02330",5410,5182.5,4815.5,6460.5,10052,4964,1373,1669,2048.5,2832.5,2187,2127.5
"CD630_02340",3710.5,4346,3481.5,5418.5,6074.5,3506.5,1169.5,1089.5,1103,1532,1448,1244
"CD630_02350",4061.5,4108.5,3906.5,5333.5,7037,3887,1268,1248,1356.5,1727.5,1604.5,1414
"CD630_02360",3488.5,3984,3366,5433.5,5964.5,3389,1116,1087.5,1091,1501.5,1275.5,1143
"CD630_02370",40012.5,41324.5,36355.5,58415.5,69046,37988.5,10791,12255.5,13161,17707,14278.5,13304
"CD630_02380",9636,10646,8649,12077,16442,8606,2533,2841.5,3327,4357.5,3375.5,3198.5
"CD630_02390",268304,270858,228479,361848,445963,236874,70938,71166,83186,110743,109593,93501
"CD630_02400",22976,21852,20215,26183,38212,19508,4135,5766,5659,7085,5215,5469
