"gene_id","SK36_Mono_7","SK36_Mono_8","SK36_Mono_9","SK36_CoSK36_16","SK36_CoSK36_17","SK36_CoSK36_18","SK36_Quad_22","SK36_Quad_23","SK36_Quad_24"
"SSA_RS04925",169,590,1155,598,362,417,83,96,89
"SSA_RS04930",204,260,410,597,471,506,163,190,165
"SSA_RS04935",49,96,116,241,158,109,26,25,20
"SSA_RS04940",5,10,3,23,14,4,3,4,3
"SSA_RS04945",7,9,15,19,14,20,2,1,4
"SSA_RS04950",9,17,21,23,11,22,4,6,1
"SSA_RS04955",9,4,19,14,9,12,8,6,1
"SSA_RS04960",2,4,11,12,9,4,5,2,1
"SSA_RS04965",12,15,14,23,30,22,7,18,1
"SSA_RS04970",904,733,1205,1577,1194,1316,667,433,357
"SSA_RS04980",102,58,86,210,180,53,14,22,15
"SSA_RS04985",676,1092,2196,1683,1309,1125,384,346,251
"SSA_RS04990",2651,5840,9364,13535,8852,9121,2457,3108,2547
"SSA_RS04995",3195,5820,11366,13860,11233,8092,2573,2334,1955
"SSA_RS05000",108,306,1022,474,297,287,103,88,72
