"gene_id","Sal-marker2-LE-rep-2_S6_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-3_S7_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-4_S8_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-1_S13_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-2_S14_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-3_S15_R1_001 (GE) - Total counts","Sal-sip-LE-rep-1_S9_R1_001 (GE) - Total counts","Sal-sip-LE-rep-2_S10_R1_001 (GE) - Total counts","Sal-sip-LE-rep-3_S11_R1_001 (GE) - Total counts"
"RSSL_01916",9339,9373,13578,14949,12459,14652,14482,12686,10385
"RSSL_01915",6598,6731,9626,10118,8649,10220,9943,8705,6981
"RSSL_01914",34517,31129,23079,32419,31265,35298,29851,24833,22163
"RSSL_01913",35305,32410,25950,34906,34658,38551,32700,26369,24909
"RSSL_01912",462,446,402,469,424,524,521,374,367
"RSSL_01911",1959,1826,2226,1866,1782,2059,1820,1654,1370
"RSSL_01910",7539,6979,7966,7353,6871,7661,6642,5740,4898
"RSSL_01909",1663,1388,1486,1788,1717,1903,1477,1308,1125
"RSSL_02214",207,179,168,231,219,279,195,179,119
"RSSL_02215",270,251,304,355,318,387,299,227,224
"RSSL_01371",4266,3819,4622,5812,5340,5731,4380,4044,3279
"RSSL_01372",5652,5022,5885,6910,6463,7219,5887,5372,4302
"RSSL_01373",1998,1760,2070,2523,2264,2630,2043,1839,1517
"RSSL_01374",1313,1139,1408,1673,1581,1794,1414,1236,990
"RSSL_01375",470,428,511,597,583,636,504,436,355
"RSSL_01376",3423,3104,3166,3948,3743,4276,3476,2862,2517
"RSSL_01377",1226,1048,1057,1441,1411,1490,1160,1025,896
"RSSL_01378",6846,6228,6193,7247,6554,7664,6235,5577,4620
"RSSL_01379",511,569,552,631,577,642,568,451,392
"RSSL_01380",1459,1448,1549,1769,1683,1794,1630,1486,1228
"RSSL_01381",1445,1272,1492,1797,1616,2039,1427,1442,1090
"RSSL_01382",954,889,976,1092,1051,1060,1017,952,759
"RSSL_01383",85,80,90,125,99,110,106,66,68
"RSSL_01384",107608,96546,89656,103079,93644,107369,111811,98388,77483
"RSSL_01385",44810,37081,35824,42754,43402,46354,46059,37897,33853
"RSSL_01386",1405,1340,1619,1698,1523,1634,1706,1555,1299
"RSSL_01387",5816,5164,6716,6750,6143,7152,7092,6477,5332
"RSSL_01388",1064,1076,1163,1428,1235,1355,1300,1093,966
"RSSL_01389",571,533,594,821,648,737,631,567,460
"RSSL_01390",291,260,312,454,438,431,391,282,249
"RSSL_01391",375,390,420,623,454,517,412,371,312
"RSSL_01392",133,109,107,215,197,186,152,109,103
"RSSL_01393",21,24,23,33,36,33,14,12,23
"RSSL_01394",3500,3995,7653,14936,12503,13045,7478,5953,5247
"RSSL_01395",37,23,41,52,43,57,50,28,27
"RSSL_01396",37,29,40,43,43,51,47,38,41
"RSSL_01397",2338,2054,2504,3192,2744,3162,2348,2163,1994
"RSSL_01398",1438,1393,1717,2185,1844,1977,1620,1442,1260
"RSSL_01399",205,206,294,227,152,159,256,231,206
"RSSL_01400",252,216,342,300,210,227,278,254,226
"RSSL_01401",327,317,470,496,287,328,405,408,339
"RSSL_01402",263,242,380,340,234,303,327,265,245
"RSSL_01403",443,423,563,601,349,425,574,480,413
"RSSL_01404",492,501,661,646,418,463,641,534,504
"RSSL_01405",261,244,322,284,225,249,300,255,255
"RSSL_01406",442,414,398,492,439,531,471,393,351
"RSSL_01407",59,58,51,93,52,55,68,42,60
"RSSL_01408",120,83,73,128,77,93,122,69,104
"RSSL_01409",28,21,25,17,15,21,23,33,17
"RSSL_01410",35,39,34,44,26,29,63,42,28
"RSSL_01411",81,82,66,90,48,84,102,74,86
"RSSL_01412",175,153,131,179,101,133,251,158,207
"RSSL_01413",522,484,463,561,534,630,518,490,430
"RSSL_01414",311,267,215,326,311,372,278,266,237
"RSSL_01415",71380,78629,61977,72153,68708,75121,76328,61314,55043
"RSSL_01416",8263,8571,8694,9343,8350,9472,9853,8467,6807
"RSSL_01417",1856,1918,2274,2910,2581,2849,2138,1948,1551
"RSSL_01418",2211,1857,2738,2508,2336,2607,2980,2678,2018
"RSSL_01419",2186,1823,2729,2438,2263,2676,2578,2390,1902
"RSSL_01420",1709,1664,1932,2111,1845,2162,2011,1817,1431
"RSSL_01421",2411,2244,2729,3071,2766,3207,2554,2370,1965
"RSSL_01422",2243,2061,2526,2865,2597,3140,2502,2221,1815
"RSSL_01423",3226,3034,3368,2533,2108,2261,2607,2194,1819
"RSSL_01424",6532,5879,7051,5578,4939,5288,5237,4713,3946
"RSSL_01425",35862,30801,36181,29998,26333,28701,26349,24064,19657
"RSSL_01426",7952,6497,7814,6697,5993,6573,6039,5456,4352
"RSSL_01427",5639,4768,5288,4507,4116,4641,3851,3281,2808
"RSSL_01428",805,677,773,819,779,965,786,679,539
"RSSL_01429",512,453,528,580,523,643,558,470,440
"RSSL_01430",142,139,152,177,129,186,171,109,118
"RSSL_00959",355,307,246,273,269,312,264,189,187
"RSSL_00958",1533,1673,1989,2377,2154,2332,1779,1624,1425
"RSSL_00957",43268,40384,38938,46235,43487,48755,43142,38010,31615
"RSSL_00956",14162,16218,13291,14456,13412,15270,14790,12220,10393
"RSSL_00955",5957,4880,5326,6595,6329,7296,5649,5087,4329
"RSSL_00954",1602,1572,1882,2020,1925,2147,1977,1768,1376
"RSSL_00953",973,833,1038,1193,1011,1135,1085,999,741
"RSSL_00952",724,707,885,987,881,1061,888,814,676
"RSSL_00951",1841,1632,2264,2387,2290,2498,2164,2126,1607
"RSSL_00950",728,641,848,871,854,933,797,683,638
"RSSL_00949",22192,18418,25026,26475,26296,30176,24370,22346,19444
"RSSL_00948",1047,1002,1234,1455,1321,1616,1226,1099,897
"RSSL_00947",6806,6229,7512,9191,8418,9537,7322,6871,5250
"RSSL_00946",1610,1455,1706,2024,1905,2097,1553,1471,1300
"RSSL_00945",880,726,710,906,933,991,813,691,623
"RSSL_00944",5187,4906,5504,6160,5617,6176,5955,5433,4229
"RSSL_00943",2772,2539,3303,3429,3293,3710,3385,2944,2376
"RSSL_00942",155,124,166,157,144,142,144,132,132
"RSSL_00941",2460,2154,2470,2619,2584,2717,2386,2265,1790
"RSSL_00940",21764,20364,15482,20438,18825,22334,18220,15353,12794
"RSSL_00939",593,461,391,509,489,650,337,364,364
"RSSL_00938",8670,7852,6710,8728,8652,9480,7442,6578,5653
"RSSL_00937",554,564,529,625,594,647,583,510,455
"RSSL_00936",843,816,892,1027,905,1031,927,745,671
