"gene_id","ssRA_1","ssRA_2","ssRA_3","WT_1","WT_2"
"SP5448_RS01715",5212,10118,11367,9794,10987
"SP5448_RS01720",3842,6521,8127,6333,6679
"SP5448_RS01725",23880,32035,36850,31656,32423
"SP5448_RS01730",3435,4647,6505,5115,4519
"SP5448_RS01735",1207,1487,2318,1844,1510
"SP5448_RS01740",13968,19828,26446,21217,22154
"SP5448_RS01745",12919,14930,18973,15255,17605
"SP5448_RS01750",14877,21008,24882,20559,24354
"SP5448_RS01755",518,863,1121,840,868
"SP5448_RS01760",401,852,850,640,674
"SP5448_RS01765",7021,4272,3438,6043,2555
"SP5448_RS01770",8188,5746,4960,8614,3949
"SP5448_RS01775",867,628,490,1069,381
"SP5448_RS01780",3697,4680,5406,4835,4772
"SP5448_RS01800",62059,82208,99470,87354,95677
"SP5448_RS01805",3344,4779,6039,5666,5182
"SP5448_RS01810",9007,11140,13539,14066,12417
"SP5448_RS01815",33452,41104,49270,45228,44249
"SP5448_RS01820",2988,3390,4332,3852,3085
"SP5448_RS01825",503,412,573,593,316
"SP5448_RS01830",688,539,944,862,473
"SP5448_RS01835",475,662,924,731,535
"SP5448_RS01840",721,441,853,780,439
"SP5448_RS01845",1077,1009,1841,1418,1215
"SP5448_RS01850",1255,1448,2878,2054,1861
"SP5448_RS01855",1159,2243,2641,2083,2192
"SP5448_RS01860",1659,3006,3615,3272,3414
"SP5448_RS01865",4931,7159,9674,7968,8574
"SP5448_RS01870",6440,8706,12370,9320,9605
"SP5448_RS01875",681,1002,1424,1118,1171
"SP5448_RS01880",224,808,850,764,708
"SP5448_RS01885",1004,1443,2053,1410,1523
"SP5448_RS01890",4365,7416,9258,7722,7791
"SP5448_RS01895",906,3337,3182,3016,3832
"SP5448_RS01900",9793,16368,18181,15516,16192
"SP5448_RS01905",10280,20358,20640,18717,20918
"SP5448_RS01910",249,290,302,418,395
"SP5448_RS01915",135,127,112,113,142
"SP5448_RS01920",2286,3553,4318,3107,3920
"SP5448_RS01925",18523,26466,32091,27158,30643
"SP5448_RS01930",19947,29860,34964,28892,34659
"SP5448_RS01935",491,884,1167,837,1002
"SP5448_RS01940",434,1143,1456,1089,1168
"SP5448_RS01945",1832,3001,3039,2614,3413
"SP5448_RS01950",2848,4807,5170,4819,5759
"SP5448_RS01955",1069,1948,2610,2106,2506
"SP5448_RS01960",29206,22368,16810,35094,16323
"SP5448_RS01965",19733,13810,9467,21533,9920
"SP5448_RS01970",94581,61670,50122,101741,48262
"SP5448_RS01975",31859,18078,15717,33821,14100
"SP5448_RS01980",95704,133881,186783,140766,139023
"SP5448_RS01985",73094,110642,148420,114379,116842
"SP5448_RS01990",128839,175130,238878,187484,202442
"SP5448_RS01995",17324,28840,41371,29243,31148
"SP5448_RS02000",83737,140132,175836,133199,150038
"SP5448_RS02005",52496,89172,104817,81830,100208
"SP5448_RS02010",49328,84697,90077,75735,95739
"SP5448_RS02015",93610,144144,150899,125589,156424
"SP5448_RS02020",39476,63087,65338,56016,70356
"SP5448_RS02025",23346,40591,42034,35172,43979
"SP5448_RS02030",125256,192282,193775,175123,215026
"SP5448_RS02035",79756,114546,113572,99843,129448
"SP5448_RS02040",59250,93907,94429,83084,107839
"SP5448_RS02045",9899,15439,18587,14429,19972
"SP5448_RS02050",515,946,1963,1160,902
"SP5448_RS02055",25135,41308,54211,42012,51849
"SP5448_RS02060",19499,33707,42869,32807,39711
"SP5448_RS02065",23573,35278,45636,35456,40865
"SP5448_RS02070",5721,7932,11960,8621,8357
"SP5448_RS02075",7970,11090,16782,14397,10378
"SP5448_RS02080",2525,3423,5734,4694,3627
"SP5448_RS02085",4358,6333,8426,8229,6551
"SP5448_RS02090",9891,14453,17404,15506,14700
"SP5448_RS02095",1328,2152,2489,2023,2378
"SP5448_RS02100",1726,2995,3316,2492,3132
"SP5448_RS02105",2322,3249,4912,3682,3507
"SP5448_RS02110",3162,5220,7804,5925,6281
"SP5448_RS02115",6081,8902,13343,9312,10556
"SP5448_RS02120",6597,8719,13093,9546,10703
"SP5448_RS02125",246,531,683,396,536
"SP5448_RS02130",1175,1297,1038,842,477
"SP5448_RS02135",549,714,878,590,558
"SP5448_RS02140",447,596,661,492,455
"SP5448_RS02145",275,344,618,335,263
"SP5448_RS09690",138,317,400,185,372
"SP5448_RS02150",514,928,1050,1042,1281
"SP5448_RS02155",308,359,330,244,348
"SP5448_RS02160",62,212,278,195,230
"SP5448_RS09235",42,145,150,88,100
"SP5448_RS02165",118,165,288,185,203
"SP5448_RS02170",127,230,299,157,289
"SP5448_RS02175",49,238,155,118,110
"SP5448_RS02180",209,291,372,279,490
"SP5448_RS02185",1034,1986,2495,1548,2092
"SP5448_RS02190",256,522,607,393,717
"SP5448_RS02195",522,747,1018,604,918
"SP5448_RS02200",1012,1780,2153,1571,2558
"SP5448_RS02205",1559,2309,2652,1966,3572
"SP5448_RS02210",140,295,290,254,394
"SP5448_RS02215",537,1147,1091,859,1573
"SP5448_RS09695",51,44,27,36,45
"SP5448_RS02220",77,150,172,123,130
"SP5448_RS02225",103,489,305,328,518
"SP5448_RS02230",46,133,150,161,245
"SP5448_RS02235",55,93,111,97,94
"SP5448_RS02240",216,342,331,371,627
"SP5448_RS02245",787,1145,935,1160,1590
"SP5448_RS02250",827,1376,1041,1298,2312
"SP5448_RS02255",908,1684,1267,1408,2367
"SP5448_RS02260",63,207,145,179,247
"SP5448_RS02265",243,610,479,414,950
"SP5448_RS02270",1569,2862,1814,2170,3600
"SP5448_RS02275",2327,4252,2457,3753,5819
"SP5448_RS02280",1074,1960,1182,2011,2691
"SP5448_RS02285",854,1694,1103,1485,2351
"SP5448_RS02290",652,1324,728,1422,2152
"SP5448_RS02295",696,1531,757,1164,2151
"SP5448_RS02300",2012,3168,1656,2719,4280
"SP5448_RS02305",504,1156,621,1085,1772
"SP5448_RS02310",361,725,440,587,1007
"SP5448_RS02315",9522,17607,9812,15442,25555
"SP5448_RS02320",1250,2332,1394,2178,3232
"SP5448_RS02325",3160,4831,2529,4562,7056
"SP5448_RS02330",1713,3617,1808,2740,4304
"SP5448_RS02335",812,1818,1050,1434,2405
"SP5448_RS02340",2895,5421,3125,4903,7724
"SP5448_RS09240",83,287,193,279,391
"SP5448_RS02345",991,2081,1332,2055,3174
"SP5448_RS02350",181,610,309,475,714
"SP5448_RS02355",264,840,333,664,1096
"SP5448_RS02365",1691,3115,1838,2947,3790
"SP5448_RS02370",1297,1930,4116,1732,2215
"SP5448_RS02375",157,166,88,225,449
"SP5448_RS02380",4695,6603,9636,8270,6652
"SP5448_RS02385",16688,20254,25753,23147,20355
"SP5448_RS02390",4395,4662,5338,5184,4510
"SP5448_RS02395",3105,3472,5013,4166,3985
"SP5448_RS02400",57104,73293,84153,77845,75096
"SP5448_RS02405",3885,4603,5640,6346,4518
"SP5448_RS02410",107,237,472,247,209
"SP5448_RS02415",859,609,883,888,593
"SP5448_RS02420",6569,5078,6445,6869,4314
"SP5448_RS02425",160,174,223,199,122
"SP5448_RS02430",376,1215,1034,1139,1466
"SP5448_RS02435",243,550,129,549,665
"SP5448_RS02440",131,481,133,308,655
"SP5448_RS02445",361,1149,412,423,1418
"SP5448_RS02450",42,232,87,73,186
"SP5448_RS02455",122,165,141,75,141
"SP5448_RS09700",73,119,70,57,82
"SP5448_RS02465",204,338,169,185,275
"SP5448_RS02470",2641,3355,4809,3557,3115
"SP5448_RS02475",2637,3543,5057,3837,4584
"SP5448_RS02480",658,749,1251,919,765
"SP5448_RS02485",3501,4364,6091,4440,3903
"SP5448_RS02490",1088,2033,2555,1997,1985
"SP5448_RS02495",5997,9206,14177,9893,10305
"SP5448_RS02500",7346,10065,11089,10226,11024
"SP5448_RS02505",4262,7819,6867,7025,8129
"SP5448_RS02510",1975,3210,3668,3035,3072
"SP5448_RS02515",6981,10424,14483,11077,13514
"SP5448_RS02520",21942,29218,40991,31880,38566
"SP5448_RS02525",2836,4512,6186,4325,5098
"SP5448_RS02530",6338,15218,17375,12975,14932
"SP5448_RS02535",165,259,225,245,227
"SP5448_RS02540",414,356,393,360,405
"SP5448_RS02545",158,234,241,217,181
"SP5448_RS02550",433,670,349,482,785
"SP5448_RS02555",373,555,462,420,522
"SP5448_RS02560",180,462,357,437,508
"SP5448_RS02565",31183,42185,52841,41177,50965
"SP5448_RS02570",645,1204,1816,1193,1301
"SP5448_RS02575",2632,4134,6313,3919,4031
"SP5448_RS02580",6902,11679,16730,11271,12192
"SP5448_RS02585",1495,1648,2907,2174,1987
"SP5448_RS02590",2778,4370,5483,4446,4683
"SP5448_RS09705",543,779,1072,800,847
"SP5448_RS02605",4366,6124,10297,6671,6659
"SP5448_RS02610",692,1081,1876,1466,1085
"SP5448_RS02615",13189,19599,24717,19600,20208
"SP5448_RS02620",7588,13199,16895,12727,14269
"SP5448_RS02625",17942,21760,29356,22710,23523
"SP5448_RS02630",7239,11295,15703,12547,11127
"SP5448_RS02635",7553,10339,14021,11538,9771
"SP5448_RS02640",337,604,1134,647,590
"SP5448_RS02645",4968,6724,8810,7831,7268
"SP5448_RS02650",12406,20545,26073,20326,20660
"SP5448_RS02655",10627,15570,17567,15557,16501
"SP5448_RS02660",6805,10748,12708,10383,11172
"SP5448_RS02665",26056,42646,53148,43606,46290
"SP5448_RS02670",32957,51558,53199,49287,55072
"SP5448_RS02675",6073,8816,10435,8788,8616
"SP5448_RS02680",353,548,785,518,488
"SP5448_RS02685",1789,2829,5486,3131,2853
"SP5448_RS09260",105833,116895,138697,115024,145030
"SP5448_RS02690",11784,10835,17789,15530,11919
"SP5448_RS02695",24551,27666,33912,32050,30223
"SP5448_RS02700",2419,3021,4547,3612,3931
"SP5448_RS02705",978,1866,1567,1458,1742
"SP5448_RS02710",833,1252,1267,1042,1333
"SP5448_RS02715",667,1178,1257,1027,1238
"SP5448_RS02720",869,1018,1213,922,1210
"SP5448_RS02725",1144,1827,1394,1542,1892
"SP5448_RS02730",1462,2036,2393,2009,2351
"SP5448_RS02735",32670,43481,56295,46819,47459
"SP5448_RS02740",4824,5984,8735,6766,6650
"SP5448_RS02745",1948,3335,4729,3878,3640
"SP5448_RS02750",5438,5650,6954,8666,5854
"SP5448_RS02755",5380,7774,9104,7813,7533
"SP5448_RS02760",10083,12212,14647,13785,13793
"SP5448_RS02765",11243,17025,20546,19024,18002
"SP5448_RS02770",36630,50109,59805,53163,54988
"SP5448_RS02775",617,1091,1273,1138,1024
"SP5448_RS02780",1906,2872,3473,3098,3177
"SP5448_RS02785",2249,2904,3532,2764,2840
"SP5448_RS02790",13208,18225,22221,17695,19876
"SP5448_RS02795",2076,4316,4655,3622,4446
"SP5448_RS02800",12899,21252,25660,23874,21206
"SP5448_RS02805",2031,3173,4179,3630,3114
"SP5448_RS02810",341,445,459,387,276
"SP5448_RS02815",102,70,148,172,93
"SP5448_RS02820",9491,18348,11884,13895,20901
"SP5448_RS02825",543,226,345,248,506
"SP5448_RS02830",444,503,1247,499,427
"SP5448_RS02835",766,2176,2850,1927,1976
"SP5448_RS02840",6,5,21,3,0
"SP5448_RS02845",52,89,207,82,103
"SP5448_RS02850",71,108,430,128,120
"SP5448_RS02855",237,335,1353,421,403
"SP5448_RS02860",68,175,276,89,182
"SP5448_RS02865",5025,7482,13565,7608,7463
"SP5448_RS02870",488,1284,1148,1032,1013
