"gene_id","Input.1","Input.2","Input.3","X5.Hr.1","X5.Hr.2","X5.Hr.3","X24.Hr.1","X24.Hr.2","X24.Hr.3"
"SPY49_RS05225",147,65,42,9,20,4,0,1,0
"SPY49_RS05230",52,17,17,1,1,9,0,0,0
"SPY49_RS05235",70,19,12,6,6,0,0,0,0
"SPY49_RS05240",913,949,774,18,66,22,3,9,9
"SPY49_RS09605",150,350,235,5,10,5,0,1,0
"obgE",4922,8519,5840,65,127,55,12,18,12
"SPY49_RS09265",477,436,369,6,2,2,0,0,0
"SPY49_RS05260",0,0,0,0,0,0,0,0,0
"SPY49_RS09270",0,0,0,3,8,3,1,0,0
"SPY49_RS05270",0,0,1,0,0,0,0,0,0
"SPY49_RS05275",281,231,133,7,53,16,2,0,5
"SPY49_RS05280",0,0,0,0,0,0,0,5,0
"SPY49_RS05285",0,0,0,0,0,1,2,0,0
"SPY49_RS09275",0,0,0,0,0,0,0,0,0
"SPY49_RS05295",10,6,0,0,0,1,0,0,0
"SPY49_RS09280",9,7,2,0,0,0,0,0,0
"SPY49_RS05300",1518,1009,913,22,60,9,2,6,3
"SPY49_RS05305",1002,2100,1324,2,8,8,1,2,0
"SPY49_RS05310",134,381,198,9,65,8,5,5,0
"SPY49_RS05315",7189,2864,1773,55,173,60,3,10,5
"SPY49_RS05320",1620,3466,3772,17,56,19,3,1,3
"SPY49_RS05325",2754,945,731,14,59,14,5,5,3
"rlmD_1",4674,2410,2139,50,88,49,9,6,4
