"gene_id","Untreated_Rep1","Nov_Rep1","Zn_Rep1","Zn_Nov_Rep1","Untreated_Rep2","Nov_Rep2","Zn_Rep2","Zn_Nov_Rep2"
"spr1271",5840,7259,6531,7784,6708,7622,4837,7097
"spr1272",34839,58589,29984,53912,34262,57946,25559,46971
"spr1273",9122,7058,10438,9203,8623,7206,9338,8101
"spr1274",1160,1877,1318,2088,1176,1961,1133,2297
"spr1275",2114,3318,2427,4006,2316,3545,2278,3877
"spr1276",4545,7088,5099,8489,4671,7193,4962,8795
"spr1277",5524,8374,6370,10170,5514,8246,6354,10831
"spr1278",339,277,382,383,359,311,339,412
"spr1279",154,98,136,142,91,87,135,159
"spr1280",228,144,266,277,238,205,230,177
"spr1281",224,149,212,215,280,186,225,232
"spr1282",4475,3025,4905,4524,3444,3292,3190,3795
"spr1283",0,1,0,0,0,0,1,1
"spr1284",14627,10056,16144,13784,10401,10458,11027,13522
"spr1285",713,716,830,811,967,789,640,731
"spr1286",757,856,833,858,683,705,716,779
"spr1287",1880,2051,2173,2833,2453,2393,1889,2229
"spr1288",1420,915,1686,1220,1923,1124,1646,1108
"spr1289",277,244,70,117,268,335,94,79
"spr1290",259,234,102,134,218,406,95,89
"spr1291",106,120,45,70,113,157,33,53
"spr1292",78,99,36,60,93,188,43,51
"spr1293",190,222,150,143,215,334,104,98
"spr1294",65,31,63,41,70,40,58,32
"spr1295",6,11,8,4,7,8,7,2
"spr1296",9,16,10,6,11,9,7,6
"spr1297",3,3,4,11,1,5,3,5
"spr1298",67,58,75,66,67,71,55,59
"spr1299",8,17,10,14,18,12,15,5
"spr1300",54293,41609,56939,46978,61223,43990,56046,37419
"spr1301",3,0,2,0,4,3,7,1
"spr1302",4301,2651,4471,3176,4117,2986,3813,2755
"spr1303",3477,1947,3506,2258,3124,2055,3026,2085
"spr1304",3344,1684,3551,2130,3719,1879,3239,1783
"spr1305",1066,883,1176,1206,1126,876,1149,1085
"spr1306",1174,948,1343,1179,1178,887,1136,1101
"spr1307",585,387,601,556,617,443,550,457
"spr1308",507,341,549,489,610,371,491,454
"spr1309",3,0,5,0,7,0,0,1
"spr1310",13752,6739,15295,8568,13840,7438,14232,7957
"spr1311",7680,5004,7955,6388,7607,5287,7358,5782
"spr1312",14716,11483,19030,15373,14737,12384,17824,13268
"spr1313",3908,2471,4371,2723,3580,2267,3767,2321
"spr1314",14978,6344,18649,8245,15727,6404,17845,6726
"spr1315",17476,7167,22085,8907,17260,6787,20926,7620
"spr1316",7372,2469,8997,3753,7865,2807,9171,3101
"spr1317",5502,1744,6289,2417,4989,1727,6026,1989
"spr1318",3351,1067,4111,1436,3276,1158,3850,1311
"spr1319",6988,2337,7167,3691,8082,2588,7458,4635
"spr1320",27215,11502,31236,17502,27790,11998,30838,20198
"spr1321",461,341,621,486,529,347,462,375
"spr1322",893,572,956,732,907,583,826,679
