"gene_id","D39WT_Untreated","D39_WT_100Zn","DczcD_100Zn"
"SPD_0738",6462,5292,4720
"SPD_0739",57582,49703,33644
"SPD_0740",7155,7351,6380
"SPD_0741",7859,7968,7104
"SPD_0742",8041,7575,7549
"SPD_0743",120,125,148
"SPD_0744",238,262,250
"SPD_0745",3984,2606,4699
"SPD_0746",8527,7736,5595
"SPD_0747",1056,1007,773
"SPD_0748",11778,11145,8288
"SPD_0749",7439,7355,5634
"SPD_0750",4387,4417,4078
"SPD_0751",4357,4319,4760
"SPD_0752",5247,5218,5764
"SPD_0753",4109,3904,4649
"SPD_0754",2338,1637,1117
"SPD_0755",1095,807,640
"SPD_0756",549,435,384
"SPD_0757",138914,105386,77830
"SPD_0758",6431,4967,6799
"SPD_0759",3086,2534,3364
"SPD_0760",11638,10059,14555
"SPD_0761",1795,1525,2351
"SPD_0762",27320,24576,21979
"SPD_0763",42654,39863,42590
"SPD_0764",39513,37585,43327
"SPD_0765",11553,10794,13312
"SPD_0766",36692,34933,43065
"SPD_0767",5974,5130,5696
"SPD_0768",3687,3279,3380
"SPD_0769",111950,91988,59739
"SPD_0770",20,18,19
"SPD_0771",314,361,787
"SPD_0772",457,446,1470
"SPD_0773",1429,1454,4872
"SPD_0774",7470,6025,10283
"SPD_0775",1647,839,2399
"SPD_0776",6054,5594,7510
"SPD_0777",6049,5945,9790
"SPD_0778",184,161,204
"SPD_0779",113,122,97
"SPD_0780",128,125,131
"SPD_0781",272,281,290
"SPD_0782",1594,1554,1723
"SPD_0783",891,818,1038
"SPD_0784",11080,11471,13501
"SPD_0785",899,892,1062
"SPD_0786",132,140,134
"SPD_0787",536,538,529
"SPD_0788",5942,5836,7711
"SPD_0789",43660,36815,25626
"SPD_0790",91985,80175,52036
"SPD_0791",501,532,361
"SPD_0792",1064,1073,921
"SPD_0793",294,312,247
"SPD_0794",356,342,333
"SPD_0795",426,450,503
"SPD_0796",840,755,994
"SPD_0797",4918,4212,5819
"SPD_0798",5117,4332,4517
"SPD_0799",839,693,395
"SPD_0800",294,263,186
"SPD_0801",633,647,745
"SPD_0802",6245,5988,10301
"SPD_0803",1884,1605,3091
"SPD_0804",345,301,1758
"SPD_0805",780,697,3856
"SPD_0806",68,69,150
"SPD_0807",201,165,195
"SPD_0808",63,58,35
"SPD_0809",2779,3379,1730
"SPD_0810",1121,1279,1042
"SPD_0811",1455,1821,1376
"SPD_0812",2296,2857,2119
"SPD_0813",3026,3861,2951
"SPD_0814",3659,4578,3493
"SPD_0815",2781,3481,2656
"SPD_0816",855,685,418
"SPD_0817",701,589,458
"SPD_0818",2307,1996,2147
"SPD_0819",1308,1165,1290
"SPD_0820",2597,2133,2431
"SPD_0821",6190,5010,5989
"SPD_0822",2218,2092,3255
"SPD_0823",4180,4015,5219
"SPD_0824",2953,2694,3499
"SPD_0825",1686,1493,1494
"SPD_0826",2557,2356,2616
"SPD_0827",1043,941,1052
"SPD_0828",2230,2217,2188
"SPD_0829",479,478,693
"SPD_0831",84,72,120
"SPD_0830",111,88,119
"SPD_0832",89,75,96
"SPD_0833",3277,3056,4866
"SPD_0834",12706,10958,10569
"SPD_0835",10326,9058,9141
"SPD_0836",5085,4348,4215
"SPD_0837",1472,1285,1231
"SPD_0838",8160,7463,7772
"SPD_0839",4753,4155,5486
"SPD_0840",2913,2456,3643
"SPD_0841",1310,1148,1297
"SPD_0842",537,542,659
"SPD_0843",36,115,98
"SPD_0844",147,361,266
"SPD_0845",1141,1288,950
"SPD_0846",1922,2139,2639
"SPD_0847",38053,28005,13379
"SPD_0848",26409,19276,8805
"SPD_0849",33785,25725,11830
"SPD_0850",7217,5175,2632
"SPD_0851",1065,527,627
"SPD_0852",1112,602,838
"SPD_0853",6467,4976,37947
"SPD_0854",4147,3695,3586
"SPD_0855",2656,2229,1938
"SPD_0856",1568,1300,1356
"SPD_0857",4770,4127,4210
"SPD_0858",3079,2712,2829
"SPD_0859",1963,1797,1895
"SPD_0860",2806,2721,2636
"SPD_0861",2576,2184,1049
"SPD_0862",5502,4309,4132
"SPD_0863",1573,1246,1280
"SPD_0864",3287,2513,2471
"SPD_0865",13,29,11
"SPD_0866",15891,12243,8018
