gene_id,WT1,WT2,A1,A2
PA14_RS03350,88,59,2198,2127
PA14_RS03355,56,37,745,841
PA14_RS03360,61,38,511,501
PA14_RS03365,0,0,25,31
PA14_RS03370,13,12,115,86
PA14_RS03375,27,24,185,123
PA14_RS03380,1,2,8,0
PA14_RS03385,1,1,10,3
PA14_RS03390,130,77,180,204
PA14_RS03395,7,9,16,22
PA14_RS03400,1,8,19,13
PA14_RS03405,1,1,6,5
PA14_RS03410,0,2,31,13
PA14_RS03415,94,58,347,328
PA14_RS03420,56,24,210,149
PA14_RS03425,33,26,127,127
PA14_RS03430,274,161,583,616
PA14_RS03435,9,4,24,33
PA14_RS03440,43,35,196,202
PA14_RS03445,310,182,1329,1393
PA14_RS03450,7573453,4956918,5339903,7444392
PA14_RS03455,945,1023,5111,5653
PA14_RS03460,1081,1695,4637,4771
PA14_RS03465,18482497,14875704,11764523,15996770
PA14_RS03470,209045,227276,248401,258218
PA14_RS03475,52,31,518,543
PA14_RS03480,27,22,185,161
PA14_RS03485,55,39,313,325
PA14_RS03490,3226,3456,4605,5374
PA14_RS03495,822,804,4088,3577
PA14_RS03500,589,498,6736,4427
PA14_RS03505,4701,3268,11845,11211
PA14_RS03510,260,301,1270,1614
PA14_RS03515,368,273,3626,3305
PA14_RS03520,484,324,5884,5498
PA14_RS03525,1210,753,7124,7523
PA14_RS03530,2024,1408,10669,10359
PA14_RS03535,1937,1188,11425,10719
PA14_RS03540,4801,3021,31589,30154
PA14_RS03545,8481,5768,22530,19880
PA14_RS03550,8616,6048,26441,26881
PA14_RS03555,1452,960,7073,5822
PA14_RS03560,1648,1095,5619,5457
PA14_RS03565,9543,6296,21961,20681
PA14_RS03570,6902,5005,16492,16782
PA14_RS03575,2920,1989,15840,16938
PA14_RS03580,2547,1644,14770,15239
PA14_RS03585,2468,1609,12439,12971
PA14_RS03590,1506,918,5919,5156
PA14_RS03595,1840,1169,9170,8279
PA14_RS03600,786,579,4490,4094
PA14_RS03605,1266,906,5940,6098
PA14_RS03610,4655,3273,17761,19079
PA14_RS03615,1326,884,6497,6323
PA14_RS03620,312,219,1323,1223
PA14_RS03625,1452,900,7307,7334
PA14_RS03630,546,392,3961,3874
PA14_RS03635,2593,1756,12873,12622
PA14_RS03640,4631,2885,14679,16057
PA14_RS03645,2114,1449,7458,9371
PA14_RS03650,843,602,6219,6131
PA14_RS03655,643,440,6175,5249
PA14_RS03660,346,241,2341,2297
PA14_RS03665,829,569,5181,5166
PA14_RS03670,538,309,2126,1967
PA14_RS03675,792,588,3907,4011
PA14_RS03680,3896,2501,20658,20520
PA14_RS03685,421,319,2975,3452
PA14_RS03690,2067,1296,11861,11539
PA14_RS03695,1537,893,7508,8566
PA14_RS03700,2807,1925,12168,11660
PA14_RS03705,3517,2310,11289,11000
PA14_RS03710,1446,973,4951,4694
PA14_RS03715,889,649,523,571
PA14_RS03720,288,195,1076,1138
PA14_RS03725,48,29,133,129
PA14_RS03730,33,12,161,148
PA14_RS03735,135,112,1330,1543
PA14_RS03740,11,5,32,34
PA14_RS03745,0,0,13,18
PA14_RS03750,4,4,6,0
PA14_RS03755,1,0,10,7
PA14_RS03760,3,3,6,4
PA14_RS03765,49,40,27,22
PA14_RS03770,86,57,99,89
