gene_id,PA_DP08,PA_DP09,PA_DP12,PA_RP01,PA_RP04,PA_RP06,PAEF_DP44,PAEF_DP45,PAEF_DP47,PAEF_RP37,PAEF_RP39,PAEF_RP41,PALDH_DP55,PALDH_DP58,PALDH_DP60,PALDH_RP49,PALDH_RP52,PALDH_RP53
PA0458,2,1,0,1,0,2,0,0,0,2,2,1,2,2,1,3,1,3
PA0459,16,16,26,48,41,45,0,1,0,30,49,25,10,14,14,28,29,29
PA0460,5,7,7,8,11,10,0,0,0,6,4,12,6,13,2,16,6,8
PA0461,7,9,15,11,10,8,0,0,0,9,6,8,12,10,1,13,6,8
PA0462,3,3,10,3,3,10,0,0,0,5,4,4,3,5,6,4,4,6
PA0463,2,0,2,2,5,2,0,0,0,1,3,1,0,3,0,3,2,1
PA0464,6,3,2,1,3,0,0,0,0,2,3,1,2,2,2,4,1,0
PA0465,0,1,0,0,1,1,0,0,0,2,3,0,0,2,0,3,2,1
PA0466,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
PA0467,0,1,1,2,1,3,0,0,0,3,3,1,1,0,0,5,3,0
PA0468,2,1,2,0,1,0,0,0,0,1,5,2,3,4,0,16,1,1
PA0469,3,6,4,2,4,3,0,0,0,5,4,6,3,5,2,7,5,2
PA0470,3,3,2,0,1,1,0,0,1,1,0,1,4,2,1,4,1,2
PA0471,1,2,1,0,3,1,0,0,0,0,0,2,1,3,2,13,0,0
PA0472,0,4,0,0,0,2,0,0,0,1,3,2,1,3,0,1,0,1
PA0473,3,5,1,2,0,3,0,0,0,1,2,6,3,1,1,5,6,2
PA0474,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0
PA0475,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,7,2,0
PA0476,3,7,8,8,5,6,0,0,0,5,1,3,7,4,1,11,3,3
PA0477,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,4,0,0
PA0478,0,1,1,2,0,1,0,0,0,0,0,4,1,1,0,0,1,0
PA0479,1,2,1,2,0,0,0,0,0,1,0,0,2,1,0,13,2,0
PA0480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
PA0481,3,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0
PA0482,43,54,40,30,35,24,0,0,0,21,32,24,37,28,21,17,24,15
