"gene_id","CONTROL.R1...raw.counts","CONTROL.R2...raw.counts","NAC8.R1...raw.counts","NAC8.R2...raw.counts"
"IS492_06685",5893,14695,7739,12140
"IS492_06690",23687,52864,33188,60343
"IS492_06695",482,1825,708,2135
"IS492_06700",1950,4878,2107,5177
"IS492_06705",584,2028,790,2397
"IS492_06710",25484,66301,34924,79604
"IS492_06715",131,205,232,950
"IS492_06720",231,221,428,932
"IS492_06725",606,1667,517,1670
"IS492_06730",677,2060,809,2595
"IS492_06735",3219,10066,4363,10214
"IS492_06740",466,1441,470,1256
"IS492_06745",1469,3872,1885,4437
"IS492_06750",2876,8752,3283,8498
"IS492_06755",231,549,254,501
"IS492_06760",668,2186,1002,2094
"IS492_06765",530,1844,636,1559
"IS492_06770",376,1059,530,1027
"IS492_06775",1686,5844,1582,4694
"IS492_06780",4910,13180,4447,11925
"IS492_06790",15,22,12,36
"IS492_06795",297,800,375,800
"IS492_06800",824,1799,745,1406
"IS492_06805",952,2896,947,2660
"IS492_06810",1032,2309,1488,2886
"IS492_06815",577,1755,849,1539
"IS492_06820",224,960,308,628
"IS492_06825",390,1088,379,902
"IS492_06830",841,2441,824,2190
"IS492_06835",352,1086,368,989
"IS492_06840",1100,3453,1682,3726
"IS492_06845",342,1054,340,1165
"IS492_06850",257,574,212,489
"IS492_06855",373,828,314,707
"IS492_06860",211,571,174,559
"IS492_06865",774,1100,1637,1051
"IS492_06870",452,455,871,381
"IS492_06875",1260,1261,2222,1168
"IS492_06880",525,661,711,618
"IS492_06885",513,772,570,734
"IS492_06890",431,758,549,729
"IS492_06895",194,549,172,464
"IS492_06900",94,261,88,295
"IS492_06905",304,666,422,898
"IS492_06910",1954,7139,2524,6901
"IS492_06915",1813,5995,2156,5049
