gene_id,ALE__1,ALE__2,ALE__3,COL__1,COL__2,COL__3,ctrl__1,ctrl__2,ctrl__3,NV716__1,NV716__2
PA3632,8,36,30,94,43,39,3,13,16,21,10
PA3633,144,383,326,449,276,219,121,140,198,200,120
PA3634,1212,3230,2011,1706,844,787,734,779,997,3059,1848
PA3635,1134,2530,1733,2434,1310,1167,310,462,480,791,533
PA3636,432,984,689,661,445,376,230,333,284,388,254
PA3637,957,2275,1753,1387,880,639,218,259,296,629,512
PA3638,204,463,315,519,294,258,108,145,162,245,178
PA3639,773,2053,1607,1514,891,777,281,313,429,1122,705
PA3640,749,2029,1556,2444,1405,1212,317,405,456,818,551
PA3641,219,511,396,396,295,218,78,81,97,218,103
PA3642,146,319,241,790,450,423,63,126,146,125,47
PA3643,230,600,435,1167,690,533,114,162,215,233,133
PA3644,440,1083,717,1560,1016,825,244,320,320,570,368
PA3645,165,405,250,420,263,189,93,125,121,336,207
PA3646,539,1171,919,1942,1197,955,413,436,489,427,341
PA3647,122,337,252,358,264,220,44,60,77,123,61
PA3648,709,1685,1309,2136,1299,1094,251,391,373,781,494
PA3649,1616,4196,3080,4682,2873,2202,1192,1455,1678,2477,1606
PA3650,573,1626,986,2259,1359,1058,532,739,879,754,488
PA3651,222,433,362,666,472,409,118,132,150,134,62
PA3652,398,849,552,1436,830,668,173,222,276,472,317
PA3653,154,571,388,498,455,336,74,111,86,258,117
PA3654,209,522,331,364,188,170,76,75,84,194,141
PA3655,762,2052,1350,1134,807,638,126,163,149,698,546
PA3656,1180,2887,2287,1731,1144,1053,152,172,211,570,382
PA3657,678,1878,1440,1336,655,669,262,361,456,866,535
PA3658,294,674,623,798,383,408,92,114,150,250,131
PA3659,57,141,92,277,142,137,34,39,39,37,47
PA3660,465,1145,815,1521,847,813,371,461,587,606,330
PA3661,10,34,8,32,9,12,1,1,0,15,9
PA3662,1201,2795,1621,4903,2881,2499,4345,5256,6267,6655,3815
PA3663,118,214,208,204,123,94,35,28,45,84,67
PA3664,132,289,227,175,125,118,136,103,172,187,130
PA3665,126,362,267,240,158,168,59,81,76,167,113
PA3666,200,471,361,636,399,351,96,109,96,187,91
PA3667,133,357,239,444,297,245,60,88,89,145,93
PA3668,38,107,103,241,128,138,57,43,62,36,33
PA3669,144,211,188,581,351,282,146,190,222,197,118
PA3670,55,201,121,218,133,138,59,55,70,95,77
PA3671,34,73,44,35,26,37,2,7,9,27,10
PA3672,231,543,345,144,96,69,71,66,109,329,250
PA3673,372,958,680,894,465,390,127,172,212,356,166
PA3674,61,233,153,410,260,206,32,40,39,223,158
PA3675,104,255,167,225,135,115,45,55,62,152,89
PA3676,862,1813,1612,3432,1992,1680,641,751,885,464,281
PA3677,1464,3522,1973,1052,598,416,227,367,403,436,340
PA3678,665,1629,1082,1292,986,747,772,791,861,535,401
PA3679,105,245,157,433,196,183,63,136,131,119,69
PA3680,107,219,156,280,173,140,90,84,73,84,76
PA3681,97,258,203,356,208,145,66,106,142,215,154
PA3682,44,157,113,121,48,48,18,25,28,48,45
PA3683,129,304,290,399,217,197,83,71,117,119,83
PA3684,577,1426,853,1002,526,435,356,461,467,823,504
PA3685,214,467,402,336,171,176,96,80,129,91,69
PA3686,326,1103,732,573,421,327,89,153,151,235,179
PA3687,655,1619,1130,1831,1022,932,624,904,892,1029,616
PA3688,335,774,534,1567,773,670,275,441,436,502,300
PA3689,652,1734,1302,823,374,349,331,422,495,964,569
PA3690,6362,17020,11141,1348,883,793,919,1514,1662,10134,6268
PA3691,3434,9867,5506,5135,2709,2534,1918,2863,3187,4551,2811
PA3692,2739,8323,5339,6843,3801,3297,1496,2581,2599,3906,1841
PA3693,79,192,112,385,232,168,74,82,82,109,82
PA3694,17,65,52,62,64,47,5,12,5,40,13
PA3695,67,188,157,592,358,232,67,87,100,90,57
PA3696,87,188,144,444,267,196,68,64,90,92,39
PA3697,149,353,267,751,448,409,83,141,135,168,123
PA3698,160,398,266,430,301,216,102,152,187,285,130
PA3699,197,552,289,514,306,256,102,198,228,268,196
PA3700,236,537,386,486,335,352,30,50,63,118,66
PA3702,160,428,250,1264,631,592,183,229,261,251,150
PA3703,614,1381,1192,1862,1066,842,352,429,484,551,444
PA3704,160,553,352,1700,1002,905,354,351,479,301,232
PA3705,57,132,112,375,199,150,92,133,138,95,47
PA3706,134,356,237,994,586,487,199,302,261,228,131
PA3707,80,144,116,320,206,197,70,132,159,119,71
PA3708,329,995,745,1174,732,643,488,625,658,935,622
