"gene_id","BF0285BR1_S16","BF0285BR2_S17","BF0285BR3_S18","BioFWTBR1_S10","BioFWTBR2_S11","BioFWTBR3_S12","Pla0285BR1_S7","Pla0285BR2_S8","Pla0285BR3_S9","PlankWTBR1_S1","PlankWTBR2_S2","PlankWTBR3_S3"
"PA0424",2816,1515,1491,1829,1747,1926,1778,1722,1141,1921,1314,2468
"PA0425",5677,2944,2865,2924,2762,2698,11472,7600,5459,5655,4991,5410
"PA0426",16014,8801,9434,8582,8208,8228,31210,22718,17690,18333,15586,17858
"PA0427",7465,3632,3964,3545,3419,3207,13267,10011,6319,8957,7116,7587
"PA0428",7476,4407,3883,4270,4549,3701,5885,5936,5147,5236,5270,4245
"PA0429",9945,6708,6876,6413,6661,6262,4215,5368,4739,5196,4696,5169
"PA0430",5224,3126,3486,3315,3114,2410,2947,3367,2861,2721,2570,2174
"PA0431",6559,3956,4348,4269,4515,2995,3422,4204,4072,3029,3124,2387
"PA0432",42710,25732,25028,24419,26596,18500,17528,19839,21043,15550,15975,12367
"PA0433",217,104,83,110,111,134,869,851,416,1020,835,858
"PA0434",576,365,248,306,385,408,1777,1960,1402,2389,2164,1906
"PA0435",133,76,69,67,70,70,687,651,334,739,639,625
"PA0436",2203,1675,1624,1382,1357,1389,2171,2366,2373,2713,2367,2756
"PA0437",1810,953,912,832,857,818,1336,1465,1090,1522,1277,1407
"PA0438",656,289,229,322,314,259,267,331,313,250,271,202
"PA0439",195,110,123,99,113,122,86,92,80,99,118,114
"PA0440",252,121,122,156,132,118,119,121,70,141,110,138
"PA0441",270,148,153,183,166,150,132,157,129,194,167,224
"PA0442",19,8,10,11,13,13,3,3,2,6,3,8
"PA0443",179,105,126,131,139,140,74,111,81,139,86,142
"PA0444",561,266,297,292,304,323,281,308,203,351,250,401
"PA0445",1987,1247,1226,1133,1380,1391,1159,1289,899,1429,1022,1719
"PA0446",3047,1536,1221,1448,1600,1456,1354,1654,656,1847,959,1264
"PA0447",1841,998,1113,1148,1143,1114,1368,1688,1190,1977,1801,2064
"PA0448",812,405,387,421,536,413,359,408,299,362,334,326
"PA0449",1938,1092,1154,1042,1094,975,1542,1714,1447,2040,1714,1817
"PA0450",677,471,435,422,492,459,363,370,371,525,396,453
"PA0451",1857,1028,554,1242,1108,1095,630,548,151,808,460,953
"PA0452",1650,1167,809,1690,2136,1758,280,300,171,359,287,647
"PA0453",809,510,459,607,697,606,338,350,228,382,292,434
"PA0454",1434,854,918,763,912,805,847,930,667,947,856,1000
"PA0455",1776,1257,1350,1002,964,787,706,779,589,796,686,641
"PA0456",91720,92042,99085,67589,61734,69879,69533,87825,115968,55611,58269,46949
"PA0457",635,501,454,329,294,391,531,659,598,543,479,467
"PA0457.1",501,282,319,217,259,273,429,478,387,534,417,517
"PA0458",1377,788,905,691,795,711,1035,1122,1109,1214,1093,1169
"PA0459",25547,9546,11442,10085,10466,8755,15569,13396,9000,17982,13766,16187
"PA0460",4249,2523,4380,2095,2298,2159,6240,6007,3982,7007,4887,6776
"PA0461",3944,2420,2888,2223,2555,2508,2893,3307,3619,2881,2695,2995
"PA0462",2288,1627,3123,1348,1605,1522,2290,2866,2762,2392,2301,2576
"PA0463",737,464,488,414,405,358,464,626,524,508,501,440
"PA0464",878,447,402,427,424,442,376,432,331,393,384,399
"PA0465",378,184,179,165,216,216,205,220,152,254,218,284
"PA0466",72,46,42,36,48,30,58,60,40,69,45,57
"PA0467",532,195,230,239,157,156,450,417,191,448,351,288
"PA0468",922,371,337,338,393,289,551,480,211,607,383,435
"PA0469",1845,955,1217,928,905,878,1238,1139,892,1363,1102,1248
"PA0470",1697,991,1330,944,1112,1113,1579,1436,1254,1862,1505,1732
"PA0471",912,457,694,421,330,439,1329,1148,732,1655,1192,1009
"PA0472",1212,658,1110,517,427,593,1578,1155,1050,1484,1273,1139
"PA0473",1762,1089,1003,1012,992,1051,900,931,785,1056,880,1139
"PA0474",59,20,20,22,25,40,25,24,14,32,34,31
"PA0475",311,184,166,142,185,197,202,189,168,187,169,184
"PA0476",1224,681,762,712,741,775,616,858,463,793,685,1163
"PA0477",346,200,183,143,140,144,309,331,185,385,300,351
"PA0478",313,158,167,181,176,169,180,210,210,177,169,175
"PA0479",472,199,200,219,257,213,210,232,117,250,180,232
"PA0480",114,48,41,37,46,43,35,34,19,40,34,35
"PA0481",328,229,157,226,274,273,142,135,139,134,106,134
"PA0482",10923,4945,5386,4823,4999,4600,14021,16614,14173,14752,13338,17121
"PA0483",1465,835,1055,861,1047,969,1657,1927,1215,2250,1653,3113
"PA0484",3282,1723,1956,2211,2491,2236,2843,3414,2137,5159,3762,7220
"PA0485",1176,1098,1496,795,782,710,1160,1381,1484,1346,1351,1222
"PA0486",1210,676,733,575,549,564,892,1034,822,981,871,875
"PA0487",939,563,659,472,496,520,761,811,675,860,782,831
"PA0488",245,140,131,130,149,163,149,131,90,161,134,140
"PA0489",104,60,111,78,81,80,91,97,118,79,81,106
"PA0490",601,506,1237,373,461,502,723,764,574,842,622,1174
"PA0491",478,293,447,218,228,249,229,262,224,257,232,218
"PA0492",144,83,94,58,67,71,470,299,348,374,301,235
"PA0493",82,49,73,50,49,57,243,166,191,277,175,152
"PA0494",217,117,113,83,112,97,378,273,243,470,292,291
"PA0495",579,364,453,360,396,398,491,501,455,591,427,552
"PA0496",531,367,418,307,336,362,417,495,414,567,400,517
"PA0497",520,376,541,282,361,368,323,399,378,418,277,411
"PA0498",1307,907,990,740,1105,1031,348,470,298,504,323,460
"PA0499",502,311,301,270,331,359,217,204,235,274,219,277
"PA0500",8854,5622,7226,4777,5641,4745,4012,3867,4360,3943,3595,3453
"PA0501",1526,894,962,844,889,620,1122,1096,629,1012,879,867
"PA0502",1090,567,543,572,506,422,1103,956,403,954,728,823
"PA0503",643,340,337,298,239,206,711,634,287,622,570,449
"PA0504",317,194,185,135,98,90,308,310,147,333,237,247
"PA0505",3491,1963,2781,1881,1432,1442,2293,2721,1690,2651,2164,2507
