locusid,BioFWTBR1_S10,BioFWTBR2_S11,BioFWTBR3_S12,PlankWTBR1_S1,PlankWTBR2_S2,PlankWTBR3_S3
PA2130,219,224,232,113,79,104
PA2131,105,98,110,45,42,51
PA2132,13,6,14,12,8,11
PA2133,21,22,28,17,8,21
PA2134,772,1600,1186,84,81,123
PA2135,290,560,407,74,51,92
PA2136,273,374,335,208,115,187
PA2137,176,335,276,268,229,528
PA2138,433,566,417,392,353,802
PA2139,54,99,63,17,17,24
PA2140,90,174,117,21,12,21
PA2141,99,192,124,16,12,22
PA2142,621,761,668,955,614,1252
PA2143,360,515,448,90,71,121
PA2144,1297,1986,1606,698,536,719
PA2145,291,493,391,112,105,155
PA2146,2031,4707,3560,55,24,47
PA2147,574,949,659,207,153,214
PA2148,161,257,213,60,41,78
PA2149,86,124,86,25,29,37
PA2150,169,260,183,68,49,86
PA2151,613,878,672,284,221,352
PA2152,826,1235,984,478,353,488
PA2153,451,684,564,173,161,201
PA2154,132,189,158,37,56,33
PA2155,81,145,120,43,23,39
PA2156,78,91,87,28,16,22
PA2157,204,251,224,88,57,101
PA2158,408,672,494,68,62,93
PA2159,631,1019,727,73,51,91
PA2160,800,1071,834,232,208,307
PA2161,90,135,97,22,9,15
PA2162,307,363,348,104,80,87
PA2163,136,199,124,55,36,46
PA2164,288,520,375,134,83,151
PA2165,907,1568,1085,251,194,347
PA2166,1578,2887,2242,729,667,2252
PA2167,274,347,339,263,197,403
PA2168,85,118,96,99,74,134
PA2169,1142,2483,1668,61,49,89
PA2170,352,741,465,37,20,42
PA2171,2147,4445,3238,126,113,205
PA2172,1142,2225,1671,151,93,151
PA2173,408,650,431,73,57,69
PA2174,950,1035,1046,1365,1117,2132
PA2175,325,405,361,287,259,457
PA2176,319,359,291,380,263,537
PA2177,983,1096,1049,1081,867,1482
PA2178,394,594,463,234,177,393
PA2179,189,217,171,69,62,83
PA2180,144,213,174,67,69,86
PA2181,441,459,492,250,185,376
PA2182,724,762,828,497,408,847
PA2183,260,480,310,80,81,127
PA2184,628,1349,917,88,80,125
PA2185,132,224,178,143,101,128
PA2186,61,51,46,45,28,56
PA2187,158,237,204,75,55,88
PA2188,185,322,228,79,74,101
PA2189,240,444,271,138,102,152
PA2190,1241,2752,1412,174,154,213
PA2191,2747,8997,2591,147,127,137
PA2192,198,316,224,36,33,53
PA2193,968,1272,793,313,332,182
PA2194,5085,5813,3974,1783,2079,1286
PA2195,4930,5601,4038,2618,2423,2029
PA2196,617,655,594,385,338,393
PA2197,910,861,721,1115,1021,866
PA2198,194,192,146,310,214,225
PA2199,2288,2648,3006,1142,956,1086
PA2200,1187,1336,1482,596,476,572
PA2201,175,236,201,156,149,110
PA2202,144,158,135,65,62,47
PA2203,220,226,208,35,37,25
PA2204,5592,6546,5391,1028,1235,742
PA2205,308,310,286,198,171,217
PA2206,542,536,552,509,438,541
PA2207,113,107,104,73,61,76
PA2208,50,52,49,30,53,48
PA2209,88,80,88,64,98,89
PA2210,155,172,153,210,194,233
PA2211,61,78,81,136,116,127
PA2212,115,115,113,180,164,214
PA2213,74,82,61,52,43,59
PA2214,46,42,55,33,35,43
PA2215,121,114,105,113,107,128
PA2216,63,82,64,99,85,81
PA2217,74,74,66,82,76,87
PA2218,341,395,407,430,325,426
PA2219,162,190,179,148,128,151
PA2220,585,638,629,343,276,377
PA2221,435,452,596,201,184,243
PA2222,646,627,594,982,748,974
PA2223,910,1006,961,1420,1165,1279
PA2224,238,318,300,369,253,363
PA2225,187,230,224,209,132,271
PA2226,355,438,392,524,370,650
PA2227,723,742,748,837,539,1018
PA2228,381,395,393,302,252,464
PA2229,277,272,256,396,331,353
PA2230,482,479,437,338,345,299
PA2231,2529,2479,2430,5413,4817,6462
PA2232,2394,2125,2026,7363,6421,7985
PA2233,962,890,964,2848,2418,3001
PA2234,1236,1128,1076,3174,2964,3495
PA2235,2885,2614,2510,8567,8001,9934
PA2236,803,726,658,2289,1900,2345
PA2237,1317,1244,1197,3401,3080,3844
PA2238,573,506,469,1864,1398,1679
PA2239,443,427,406,1457,1143,1355
PA2240,822,752,839,2428,1815,2399
PA2241,278,278,276,879,600,830
PA2242,846,922,909,2864,2617,2881
PA2243,81,109,72,90,80,69
PA2244,268,337,228,186,167,280
PA2245,165,200,131,76,57,95
PA2246,677,825,737,607,442,819
PA2247,1286,1205,939,978,810,1343
PA2248,733,687,570,703,605,1049
PA2249,575,620,570,533,401,622
PA2250,681,579,533,570,491,723
PA2251,347,420,444,193,175,186
PA2252,251,300,306,200,214,202
PA2253,133,115,81,144,152,97
PA2254,47,59,82,56,38,55
PA2255,49,44,57,31,18,37
PA2256,50,66,52,49,47,54
PA2257,17,32,27,32,12,24
PA2258,139,154,143,116,83,114
PA2259,2320,2072,1983,4232,3438,4250
PA2260,329,264,232,1307,932,1428
PA2261,261,261,221,1137,810,1253
PA2262,544,500,477,2101,1888,3826
PA2263,137,103,124,645,627,1091
PA2264,735,778,728,1342,1394,2009
PA2265,1014,1105,977,2234,2213,3067
PA2266,505,601,556,1158,1005,1185
PA2267,272,320,289,320,220,223
PA2268,47,31,58,64,37,49
PA2269,102,137,142,111,71,96
PA2270,209,174,124,199,164,149
PA2271,148,157,132,177,141,164
PA2272,1213,1398,1358,680,617,551
PA2273,377,309,364,193,151,170
PA2274,470,704,503,67,50,81
PA2275,362,446,360,145,107,134
PA2276,241,324,275,172,202,166
PA2277,89,104,69,53,61,50
PA2278,149,146,138,112,108,89
PA2279,96,85,71,108,120,108
PA2280,252,287,252,252,282,279
PA2281,439,441,411,357,362,254
PA2282,91,83,96,148,164,115
PA2283,91,89,75,202,189,125
PA2284,145,119,120,187,163,142
PA2285,155,138,125,296,311,226
PA2286,107,126,129,324,337,270
PA2287,106,83,75,323,257,224
PA2288,101,85,64,298,197,215
PA2289,839,846,793,1490,1250,1383
PA2290,3463,3118,2610,7654,6156,7837
PA2291,36055,24990,28677,30491,24685,32540
PA2292,85,75,65,70,35,35
PA2293,57,36,22,42,21,17
PA2294,154,157,98,80,58,61
PA2295,81,87,61,47,31,30
PA2296,350,379,354,206,150,198
PA2297,213,217,209,115,96,131
PA2298,1239,1242,1196,754,602,743
PA2299,493,470,420,225,204,251
PA2300,2180,2127,2333,411,336,391
PA2301,386,352,365,528,512,500
PA2302,5451,4778,4547,5055,3845,4236
PA2303,1082,1074,1127,1081,894,970
PA2304,1260,1291,1202,1299,1025,1097
PA2305,2957,2791,2855,2204,1757,1739
PA2306,1715,1794,1865,2169,2430,2259
PA2307,190,195,200,74,59,58
PA2308,315,306,271,53,47,34
PA2309,550,558,499,75,85,62
PA2310,523,600,525,76,57,73
PA2311,164,160,147,25,21,22
PA2312,543,621,591,65,75,82
PA2313,2260,1645,2479,403,283,430
PA2314,48,36,46,29,22,31
PA2315,35,31,38,36,33,30
PA2316,247,264,243,258,229,251
PA2317,678,786,807,522,425,574
PA2318,1610,1718,1729,1301,940,1467
PA2319,2180,2584,2611,2936,2105,3611
PA2320,1326,1394,1224,1461,1257,1117
PA2321,2261,4119,3387,1505,2193,1094
PA2322,4668,5897,4648,5341,5880,3933
PA2323,3525,3872,3296,4876,5020,3561
PA2324,50,58,45,39,47,38
PA2325,59,72,63,80,41,69
PA2326,260,330,309,179,163,198
PA2327,1015,988,956,1176,928,1022
PA2328,1178,1058,966,1237,1112,840
PA2329,592,480,402,601,548,325
PA2330,856,749,619,1255,1175,628
PA2331,1779,1915,1720,2026,2220,1352
PA2332,335,353,362,298,229,236
PA2333,159,163,176,126,107,105
