gene_id,Ctrl1,Ctrl2,Ctrl3,P5A1_25,P5A2_25,P5A3_25
PA2015,3809,3252,17847,6322,5518,5934
PA2016,160,133,793,596,479,601
PA2017,254,268,1276,488,513,464
PA2018,1929,1890,9186,7399,7602,6995
PA2019,1078,954,5358,7850,7640,6997
PA2020,801,878,4065,1711,1770,1360
PA2021,143,119,518,328,394,316
PA2022,319,397,1630,1296,1311,1224
PA2023,2109,2032,9797,1397,1183,1355
PA2024,255,276,1552,333,238,238
PA2025,2995,2833,14483,2997,2884,2698
PA2026,495,593,3026,823,732,760
PA2027,190,242,1046,115,93,101
PA2028,315,227,1500,137,134,129
PA2029,411,381,2257,165,144,146
PA2030,913,714,4152,204,211,200
PA2031,585,429,2383,172,162,157
PA2032,2203,2008,9422,5444,5410,5292
PA2033,5524,6350,30372,3460,3357,2865
PA2034,2509,2699,12974,1773,1837,1514
PA2035,2002,2107,9982,2786,2539,2360
PA2036,36,18,95,25,18,24
PA2037,144,80,423,160,102,122
PA2038,44,38,251,100,78,92
PA2039,176,192,759,314,307,347
PA2040,1196,1134,5894,3075,2977,2874
PA2041,474,297,1710,1256,1124,1054
PA2042,2343,2202,11076,1319,1374,1357
PA2043,465,556,2832,811,779,832
PA2044,3065,2662,13476,2478,2548,2274
PA2045,94,110,571,161,147,147
PA2046,197,214,1071,415,362,306
PA2047,535,515,2589,553,548,475
PA2048,452,467,2505,695,614,598
PA2049,2369,2313,11975,4623,4549,4553
PA2050,91,90,418,909,773,835
PA2051,261,347,1214,903,850,770
PA2052,219,239,1290,279,311,219
PA2053,243,281,1312,315,357,324
PA2054,447,477,2388,735,681,669
PA2055,316,366,1463,1092,1115,1045
PA2056,237,344,1530,782,745,723
PA2057,484,483,2625,604,611,524
PA2058,204,243,1184,179,170,173
PA2059,117,117,472,80,88,83
PA2060,143,140,719,56,74,63
PA2061,310,388,1758,272,285,212
PA2062,631,656,3078,5903,5471,4933
PA2063,545,629,2751,2784,2786,2348
PA2064,398,481,1826,2239,2175,2046
PA2065,747,692,3350,1620,1650,1473
