"locus","SCV24_1","SCV24_2","REVa_1","REVa_2","REVb_1","REVb_2","SCV104357_1","SCV104357_2"
"PA14_04430",41,56,85,77,75,14,61,54
"PA14_04440",103,125,120,109,84,21,143,148
"PA14_04460,lgt",38,46,52,75,42,10,114,96
"PA14_04480,thyA",66,188,101,121,163,6,162,286
"PA14_04490",36,37,99,104,112,12,128,153
"PA14_04510",112,107,215,174,174,32,274,374
"PA14_04520",52,59,104,80,99,13,78,71
"PA14_04530",33,47,57,49,37,6,241,328
"PA14_04550,glpQ",6,4,15,9,8,5,48,41
"PA14_04560",7,3,10,7,10,3,13,11
"PA14_04570",15,8,19,16,16,1,17,22
"PA14_04580,folA",33,39,33,27,28,3,103,136
"PA14_04590",26,21,75,45,56,11,137,196
"PA14_04610,yicE",3,9,9,15,12,1,26,16
"PA14_04630,ilvD",431,560,1420,1415,1555,255,1336,1499
"PA14_04640",43,136,51,73,87,11,254,309
"PA14_04650,pfpI",51,69,2,3,94,6,526,682
"PA14_04660",158,320,194,190,179,50,213,261
"PA14_04670,mutM",180,429,242,251,218,34,280,367
"PA14_04680",148,337,189,201,201,51,104,80
"PA14_04690",23,41,84,104,121,17,161,251
"PA14_04700",233,152,235,172,166,32,98,137
"PA14_04710",0,0,0,0,0,0,0,0
"PA14_04730",142,135,293,222,219,26,240,296
"PA14_04750,fdx1",81,119,191,176,207,27,240,224
"PA14_04760,coaD",50,123,84,105,92,14,125,247
"PA14_04780",90,105,290,205,204,31,217,258
"PA14_04790",108,135,348,253,225,38,268,261
"PA14_04810",183,144,637,409,401,53,400,358
"PA14_04820",158,170,346,213,233,36,223,308
"PA14_04830",15,14,40,54,78,10,44,30
"PA14_04840",67,148,199,148,169,17,230,354
"PA14_04850",17,24,29,26,42,7,84,119
"PA14_04860,yhhF",118,139,247,249,277,32,1187,1638
"PA14_04870",184,205,408,344,275,58,985,791
"PA14_04890",295,443,524,327,405,83,970,1457
"PA14_04900,ftsY",920,1326,2315,1239,1316,270,1634,1624
"PA14_04910,ftsE",460,524,968,744,629,126,1239,1102
"PA14_04920,ftsX",233,317,407,491,469,82,699,730
"PA14_04930,rpoH",2832,3060,4353,2759,3676,559,4495,6399
