"gene_id","Ag1","Ag2","Ag3","AgTe1","AgTe2","AgTe3","C1","C2","C3","Te1","Te2","Te3"
"A4W92_RS17245",2258,1953,1224,2042,1881,3026,1552,1784,1569,1705,1731,2130
"A4W92_RS17250",546,494,423,369,358,661,346,511,388,453,425,485
"A4W92_RS17255",573,494,434,401,482,807,509,636,507,513,469,552
"A4W92_RS17260",467,351,309,286,268,507,342,378,326,352,297,447
"A4W92_RS17265",618,557,407,893,792,1410,587,677,599,815,769,831
"A4W92_RS17270",360,326,218,932,635,1394,337,360,338,521,494,605
"A4W92_RS17275",196,177,110,655,373,809,186,174,167,341,272,416
"A4W92_RS17280",236,231,164,260,224,514,246,273,205,227,211,210
"A4W92_RS17285",488,312,269,490,331,688,280,351,299,347,348,473
"A4W92_RS17290",2638,2313,1499,4240,2753,5922,2845,3134,2735,2647,3452,3751
"A4W92_RS17295",2950,1130,441,797,1203,1451,1763,1700,1483,1168,1466,2365
"A4W92_RS17300",25715,11047,3572,8568,12609,16024,15858,16304,14974,11564,14285,23672
"A4W92_RS17305",2781,1192,446,993,1430,1695,1445,1614,1558,1266,1654,2814
"A4W92_RS17310",26719,11551,2880,8890,14023,17547,16286,16384,15527,12265,16947,28591
"A4W92_RS17315",630,369,254,378,397,584,318,407,363,393,318,523
"A4W92_RS17320",1516,1481,944,1720,1922,3388,1232,1540,1284,1473,1159,1657
"A4W92_RS17330",77,81,70,61,60,99,67,86,71,69,75,93
"A4W92_RS17335",40,33,29,42,25,43,34,47,45,36,33,42
"A4W92_RS17340",91,81,48,49,36,84,64,60,73,60,73,91
"A4W92_RS17345",23331,17378,17276,16649,14635,26670,16928,17229,14632,17217,15110,21316
"A4W92_RS17350",1447,1046,841,1029,1096,1746,995,1123,1031,1069,941,1298
"A4W92_RS17355",67898,40760,40636,20829,27370,45675,59917,71135,64061,58813,43475,59168
"A4W92_RS17360",488,423,240,387,388,691,409,494,401,384,377,507
"A4W92_RS17365",710,518,336,492,493,879,532,552,495,473,450,633
"A4W92_RS17370",183,156,87,125,138,206,131,200,179,149,137,174
"A4W92_RS17375",575,371,302,554,454,705,370,420,454,465,437,559
"A4W92_RS17380",107,89,66,83,59,136,88,86,92,85,88,91
"A4W92_RS17385",446,290,314,400,321,639,272,332,312,331,311,422
"A4W92_RS17390",1443,1147,783,1035,971,1716,1225,1207,1055,1019,1062,1313
"A4W92_RS17395",1116,1353,696,876,991,1538,687,1228,880,1091,1044,1661
"A4W92_RS17400",784,861,414,566,691,982,571,926,614,735,698,938
