gene_id,Mut  - 77-KO_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-3_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-4_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP-2_TTCGCT_L001_R1_001 (paired)-1 (GE) - Total gene reads,Mut + DP - 77-KO+DP-3_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77+DP-KO-4_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-2_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-3_CACACA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-4_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-3_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-4_ACAAAC_L001_R1_001 (paired) (GE) - Total gene reads
ablA,3894,3519,3469,2271,4816,3717,2348,1525,4365,2303,1440,1361,2346,2755,2795,2251
ahpC,8605,5172,1705,6194,18224,8147,2219,21283,44049,6468,6686,27914,3314,6906,2036,8952
ahpF,4056,2512,1515,3261,9863,6248,1145,11574,32523,2679,1500,10495,1536,3845,1152,3817
alaS,8929,10113,10610,6699,13668,9815,11723,5361,8503,6142,7295,4053,5953,5969,12872,6498
aroB,877,691,696,631,812,506,537,455,816,412,504,458,586,704,1034,873
aroC,2836,2660,7296,2085,1893,1439,10451,2207,1934,987,4958,1710,1588,1878,5627,1957
asnS,7066,4526,4264,2841,6491,3900,4059,1619,6130,2751,2075,1246,3344,4769,4085,2807
aspS,10689,12532,12266,7948,20397,13634,13822,8627,15707,7113,9973,9237,7014,8874,10285,8054
bamD,18492,17087,6244,11466,21534,14316,6431,12983,25026,13322,8434,13201,11316,15644,14836,11448
bcp,9354,16449,6565,10697,17253,14917,9546,14087,13139,11125,12383,15006,9219,8233,13697,12147
bioB,2519,2787,1684,1760,2662,1646,1569,1204,2111,1677,1245,1246,1804,1824,2406,1688
bioC,5433,5585,2265,3451,3397,2884,1451,2596,3540,2470,1100,1894,3653,5537,2460,3275
bioD,1038,1047,777,723,1012,680,785,751,769,594,1005,857,705,606,1622,836
carA,724,543,818,678,425,263,584,361,457,224,389,402,500,468,566,955
carB,4328,3723,4033,3287,3021,2069,3168,1836,3276,1768,1993,2216,2759,3528,2795,3787
cas1,939,698,249,429,396,251,274,418,696,355,404,749,710,1281,529,915
cas10,2577,1316,1080,690,703,686,1479,1182,4198,1745,2180,2697,2175,4139,1873,2740
cas13b_1,11944,10695,7363,7007,10351,7260,7040,4882,11770,5345,4762,4211,7291,11740,7150,7258
cas13b_2,3012,2079,1972,1476,2121,1576,3885,2378,4817,2442,4286,4143,2461,2468,3306,2754
cas1b,2049,1693,1044,1221,663,566,1791,1514,2309,1382,3018,4529,2124,2235,2681,3423
cas2_1,3,11,19,10,3,8,16,19,18,6,10,11,29,17,18,25
cas2_2,333,362,117,182,130,149,186,262,306,320,451,598,682,515,371,736
cas4,925,615,468,462,268,210,676,461,901,427,976,1497,1164,1022,883,1568
cas6,7049,3442,2670,2613,4071,2328,5592,3353,6615,2589,3717,4965,3734,5492,4600,5706
ccsA,1147,611,536,534,450,357,325,476,964,553,461,635,660,1022,595,838
cdd,1376,1622,649,1037,1691,1270,862,987,1617,1047,1073,1168,1152,1246,1254,1026
clpB,1036,1116,2410,1402,872,685,2684,2040,932,611,3425,2578,681,479,3378,1345
clpP,7774,8280,3526,6930,9303,9066,6453,7937,9061,6695,7552,11125,6433,7265,9351,8308
clpX,3970,2643,2170,1834,2829,1767,2119,2113,4387,2105,2417,3615,2808,3183,3652,3083
cls,5620,6432,2463,2906,4036,3318,4290,4730,7924,6940,9084,7997,5826,5964,5664,4232
cmr3,2106,1166,804,588,612,491,1217,1019,4031,1301,1768,2271,1652,2994,1292,2055
cmr4,1643,958,601,533,466,503,1061,1119,2241,1139,1725,2368,1397,2032,1121,1705
cmr6,2572,1783,1120,955,793,899,1574,1545,4143,1569,2002,2397,2142,3333,1277,2168
coaBC,1681,1039,1682,1351,1359,841,1763,1169,1679,766,1443,1830,1070,1050,2216,1818
coaD,316,309,304,293,348,224,154,288,226,160,280,146,161,241,635,362
coaE,1356,1354,659,1049,1121,1031,441,914,1281,780,357,798,1031,1121,782,1355
cobC,1440,1047,916,682,1205,805,910,713,1630,938,800,985,888,1234,1067,925
cobD,409,346,495,241,318,188,311,241,251,169,283,232,331,259,453,278
cobJ,1775,1522,1628,1237,1746,1051,2145,1504,1870,971,1936,1920,1139,1044,2037,1509
cobM,3139,2307,1892,1810,2171,1511,1857,2817,3687,1524,2074,2527,1690,1993,2649,2063
cobT,2380,1479,1433,1142,1726,1226,1467,1297,1923,1008,1834,1795,1060,1161,1999,1437
cobU,577,324,563,292,473,253,622,282,526,255,398,437,372,284,455,376
dacB,1146,796,711,755,1126,863,781,986,1201,540,770,826,610,789,799,896
dapB,1911,1071,1594,618,1212,603,1322,623,1258,721,528,705,1391,964,924,1239
deoC,1889,1597,879,1053,1337,969,871,1124,2092,1249,861,1400,1272,1455,1623,1160
der,1579,1422,856,963,1310,1102,903,1001,1838,991,726,948,1264,1374,1313,1283
dnaA,8914,8574,4575,7722,5645,3914,4170,6571,7108,4628,4218,8504,7671,6633,7914,9580
dnaB,6880,8599,3669,3697,8062,6471,4107,3848,8205,5421,3521,2613,5283,6954,5266,3106
dnaE,11515,11306,5610,6925,12542,9547,7043,7849,13201,8638,7468,9964,9000,9688,9756,9457
dnaG,9139,6341,4972,4317,4849,3720,3905,3947,8023,3767,4350,3251,5071,6117,7322,5624
dnaJ,616,573,898,402,464,313,820,295,465,296,426,388,640,493,495,411
dnaK,2268,2338,5268,3008,2286,2147,5394,3254,1931,1332,4495,4600,1544,1530,6167,3090
dnaN,3858,4332,2783,3945,4887,4551,4273,4450,4449,3578,5231,5744,3416,3021,6740,4537
dprA,1735,1378,968,1197,1346,940,857,1262,1790,884,736,1128,1194,1267,1185,1602
dusB,1132,1007,889,742,891,584,822,544,754,542,703,488,848,732,1148,690
dut,451,385,390,471,441,236,310,326,406,251,346,353,306,379,732,495
efp_1,30029,49905,16793,28064,37335,53270,19348,24108,24792,29923,16121,12659,27305,20110,32489,21533
efp_2,2535,2199,6111,4548,1923,1259,4897,4641,125,1367,9557,7933,1706,264,12755,4096
eno,3063,2624,3236,1746,4224,2791,2791,1847,3553,2129,1975,1577,1986,1821,3825,1999
era,2143,1670,1449,1302,1875,1477,1370,1156,2340,1272,1469,1017,1417,1642,1998,1788
fabD,4122,4502,2073,2604,3092,3281,2639,3177,5036,3265,3442,4177,2821,4340,3417,3254
fabF,3548,3814,5605,2189,9946,5530,7593,8593,7090,3735,5516,5959,2989,3625,5029,2475
fabG,3143,3359,2963,1993,4905,3757,4102,4985,4309,3060,5066,5698,2426,2831,5928,2098
feoB_1,1702,1577,1466,1528,2924,1966,2271,1746,2663,1694,2112,1911,1362,1093,2015,1596
feoB_2,1495,1681,5083,1398,1200,841,4695,2341,1153,701,4950,2602,855,559,5119,1130
ffh,8674,9052,5521,5677,11940,9443,4712,4371,9614,6173,3289,3126,6510,6670,6791,6253
folB,293,290,261,198,349,270,170,200,304,276,157,127,247,252,519,202
folD,2660,2742,2377,2619,2610,2086,4020,2828,2488,1323,5173,4091,1539,2019,4081,2688
folE,1187,1035,557,835,766,603,499,694,1459,742,541,761,964,1259,1445,1028
folK,509,509,584,409,449,308,442,263,408,258,339,290,302,401,589,512
folP,1070,1051,841,867,1283,1024,972,799,1281,943,1225,981,901,852,1519,988
frr,443,353,344,322,374,268,496,331,477,348,573,562,446,329,688,490
fsa,1368,1072,977,1341,1372,901,1621,1381,1584,855,1466,2009,1164,1165,1644,1832
ftcD,15169,15099,20812,15008,25723,15983,13669,10668,13772,8595,6557,6692,6661,7183,17093,10821
ftsH,20262,21203,12296,12471,27246,17360,16355,12813,21817,13579,15851,12959,11208,12113,13891,12657
ftsY,3269,3136,2805,1592,4362,2154,3286,1561,3417,1816,1640,1816,1940,2061,2332,1972
ftsZ,15803,14359,6395,10350,10818,10161,10013,12734,19835,11776,12814,17982,11779,13764,11673,13502
fusA,19520,20508,27682,20389,34895,23375,23625,10652,20562,10921,12068,5194,8674,11903,27373,16379
galE,1126,789,1351,599,1270,813,1591,870,1359,685,1026,1180,815,763,1086,948
galK,2811,2356,3580,1868,1809,1535,3878,1939,2040,1341,4498,2998,1767,1805,4811,2343
gap,22413,22847,11130,11474,20954,12130,11583,11096,18550,15873,12919,16187,15160,18060,25942,15189
gcvH,2002,1369,1188,1192,1722,1173,1195,1390,1994,1185,988,1019,1023,1496,2413,1134
gcvP,21172,19484,15587,15880,24358,17375,15558,15996,25408,13549,14220,17036,12652,15176,19559,16962
gcvT,8046,7317,5254,6332,7398,6315,4692,5643,7624,5377,4213,4253,4532,5053,9554,6424
gdhA,17123,18037,9765,11037,13521,11489,12555,10798,17697,12358,12968,11377,15359,14353,15722,11808
gldE,2650,1847,1135,1385,1258,929,1311,1848,2416,1706,2570,2963,2048,2212,3067,2772
gldH,792,470,1057,574,475,309,813,538,434,270,526,806,335,365,665,575
gldL,9686,7157,3725,7734,4934,4162,2412,4735,5920,3445,2421,3290,5136,6547,5552,8659
gldM,17934,15862,4841,9234,8595,7629,3511,7275,9666,8417,3136,4756,13149,14218,8096,10988
gldN,3817,2797,1411,2138,1653,1829,1031,1972,2220,1242,934,1474,1796,2599,2228,2443
glgP,6288,5526,3043,3689,5247,3519,3113,4106,5746,3477,2774,4517,4136,4410,5095,4728
glmM,4219,3742,1716,2027,4896,2799,1654,1965,5529,2720,1686,1846,2915,3259,2652,2259
gltA,2105,1610,1850,1703,2413,1378,1357,837,1821,1001,924,762,1193,1152,2291,1832
gmd,2813,2967,2174,3186,3675,2918,2893,2844,3217,2359,3178,2928,2082,2291,3045,3294
gmk,536,385,128,237,159,159,132,130,310,286,113,175,466,495,203,396
gpmA,969,1025,605,797,1186,894,698,537,1226,994,599,461,1092,858,1097,1123
greA,410,346,836,292,433,386,660,272,327,312,434,290,411,265,1101,379
groL,10476,10899,16196,8857,12827,10618,14335,11404,10672,5410,12803,12833,5092,6871,14399,6465
guaA,27939,32076,22371,12213,44501,36766,19040,9738,24844,21081,11323,5424,16863,20915,15368,8262
gyrA,17083,17969,20824,26108,15055,14575,22105,25367,14970,10657,17765,24131,12305,10357,42658,29178
gyrB,6242,4661,3386,3542,5597,3609,3221,3031,6147,3121,2518,2961,4136,4497,3888,4187
hcp,730,660,469,416,700,492,385,397,511,324,288,324,477,411,562,386
hemG,8827,7208,3584,5774,8141,4957,2661,4152,7564,4473,2808,3436,4607,5997,6873,5823
hemH,1484,1138,1329,1542,1698,1069,1137,1092,1485,911,1124,933,967,953,1950,1313
hemW,1715,1449,746,1397,632,449,411,637,1048,782,474,457,940,1230,1537,1417
hflX,2070,1977,1485,2102,1861,1408,1894,1879,1832,1297,2432,3072,1400,1368,3065,2772
holA,1850,1919,663,936,2151,1585,837,1355,2150,1482,1396,1461,1478,1571,1670,1068
holB,8005,9552,5727,5643,10416,7867,6151,5883,7622,4935,5772,5150,4785,6427,6145,4241
htpG,2175,2230,4047,2141,2517,1907,3344,2577,2758,1281,2987,2953,1408,1508,3437,1856
hutH,5816,6619,4495,5104,7452,5616,2492,3950,4792,3654,1561,1953,3229,3343,4559,3961
infA,678,312,1031,198,741,357,628,162,629,239,208,113,338,447,449,463
infB,38099,41917,31780,33529,41633,36780,29241,24816,34058,18550,21424,25200,19646,23837,27699,30465
kbl,5237,5215,3135,3007,5242,5055,3677,3014,6220,4206,2859,2585,4097,3883,4299,2868
kdsA,2709,3205,2348,2645,2807,2699,3049,2288,2960,2403,3833,3193,2520,2347,4417,3151
kdsB,865,554,678,417,561,453,749,421,694,408,395,311,538,453,606,498
lepA,12883,16219,13120,8102,16986,16406,14014,8051,13492,11612,11247,6247,9601,9831,14786,7243
lepB_1,438,377,351,327,304,215,296,272,456,239,360,418,389,381,600,487
lepB_2,16808,18640,5874,5558,16845,11948,5220,6974,18376,12674,4381,5986,11583,16404,5622,5449
lgt,1264,1052,1303,767,1317,796,953,542,982,557,491,383,728,757,1140,747
ligA,3368,3311,1474,1778,2090,1709,1240,1136,2566,1828,1079,789,2225,2803,1902,1793
lipA,485,345,349,348,291,222,335,218,320,205,253,233,406,382,526,600
lon,7719,6127,4283,5378,7717,4605,4021,5122,7741,4150,3556,5164,5792,6120,7383,7217
lpdA,1871,1824,1970,1679,1729,1347,1787,1096,1472,1056,1364,922,1537,1362,2859,1952
lptB,2809,3113,2340,2075,4125,2986,2035,2791,2632,2301,2182,1468,1792,2107,5035,2264
lptC,5722,6065,2198,2696,3600,2959,2006,2397,4318,4513,2441,1741,4221,5818,4318,2565
lpxA,1842,1679,2861,1454,2325,1362,3021,1176,2054,966,1653,1227,1059,1370,2037,1779
lpxB,12341,10344,3819,6151,11047,7224,2375,4557,10329,5637,1921,2843,6150,9997,6785,5594
lpxD,2237,2287,7058,2269,2422,1863,6400,2067,2093,1307,3509,1834,1785,2072,5930,2677
lpxK,3367,2780,1801,2194,3442,2272,2105,2399,3405,1853,2625,3409,1883,3014,3224,2794
lysA_1,3450,1692,3044,2140,1420,741,2388,2043,956,566,271,366,1496,981,666,966
lysA_2,6286,6186,8089,13043,3736,3688,5278,7585,3126,1287,988,1876,1669,2318,2514,3852
lysS,35691,29744,18376,18020,34747,25230,21343,17108,32413,19722,15970,22900,20520,28231,21995,20800
maf,308,237,226,183,284,152,221,223,334,162,257,357,255,213,349,267
map,3206,1201,5683,1072,2638,1108,3531,888,2209,850,508,531,1185,1258,1413,1446
mazG,3596,2806,1842,2092,2755,2029,1319,1523,3170,1546,1344,1079,2003,2630,2970,2691
mce,2691,2441,1612,1346,2174,1703,2137,1847,2743,1884,2882,2692,2325,2294,3154,2162
meaB,3247,3079,2275,2125,2243,1546,2367,1945,3005,1584,1947,2675,2346,2555,3299,2990
megL,22442,24627,11511,16338,22281,18246,14111,16777,31099,19533,17602,16915,19086,24090,22092,17155
menA_1,13,6,0,17,0,0,4,7,0,0,0,0,0,0,0,2
menA_2,3224,2790,4086,5555,1583,1265,3241,3362,1316,700,711,1018,1293,1457,2040,1933
metG,2782,2733,4050,1808,4261,2826,4798,1781,2859,1887,2033,1590,1836,1488,2870,1696
mfa1,6094,6210,10553,5784,11989,7789,7335,3201,5375,4452,4635,2822,3520,4066,9382,4418
mfa2,3212,2524,5334,2759,3774,2591,4404,1825,3017,1715,1891,2002,1907,2006,3096,2778
mfa3,39117,50015,28551,25796,55283,46955,23909,12470,29193,26603,15453,10367,23621,34958,22166,15756
mfa4,5489,6778,6604,5575,9782,7624,5253,2304,5286,3496,3443,2372,2936,4483,5145,3481
mfa5,12945,13033,15716,9583,16473,11484,10006,5387,9233,6213,6631,3650,5699,7380,10722,7161
mfd,4818,4066,3611,2969,4762,3231,3561,2698,4737,2823,3075,3062,2969,3124,5038,3069
mgtE,3012,2289,1004,1456,2578,1323,1117,1627,4214,1757,971,2204,2083,3102,1637,2190
miaA_1,2532,2352,1598,1729,1915,1311,1151,1886,2146,1378,2210,1599,1659,1844,3329,2096
miaA_2,428,449,197,293,290,206,190,227,284,280,351,290,569,341,451,413
miaB,1457,1474,1354,1066,2200,1630,1508,1104,1795,1016,1050,1054,1181,1259,1715,1208
mltG,20352,22659,7625,13033,37060,28173,9172,16239,30173,18679,12413,16925,13025,15477,12649,12058
mnmA,786,562,714,332,706,512,626,450,989,438,479,546,567,520,758,531
mnmD,986,886,533,1138,667,454,319,760,854,409,372,587,591,771,904,1078
mnmE,4751,6384,4190,3898,6423,5709,3364,3130,4065,3122,2707,2539,3490,3624,5174,3360
mnmG,8542,8011,5954,3958,14727,10718,6785,5270,12877,7240,6287,6710,5147,5873,6610,4699
mnmH,5730,5938,3477,3931,6467,4920,3463,3068,5531,4214,3598,3173,4506,4360,4759,4317
mobC,18,29,25,17,31,17,23,14,26,18,16,16,19,21,20,15
mrdA,7160,6601,3224,4710,4413,3024,2338,3529,7132,4125,2504,3442,5047,6643,5167,5646
mreC,1264,963,640,625,746,510,491,534,1077,627,425,581,1149,1263,915,1071
mreD,408,220,361,223,243,102,276,209,318,150,151,164,219,216,382,308
mscL,198,175,151,202,212,113,192,189,238,117,261,379,168,155,216,283
msrB,8142,5990,4250,4289,9788,7006,3624,4936,10418,4874,3211,4426,4263,5999,6169,4849
mtaB,5469,6061,3936,5273,7854,5396,4887,5092,6056,4347,6770,5334,3382,3730,9030,5573
murA,2894,1606,1762,1619,1762,1145,1669,1236,2324,1112,1276,1861,1227,1812,2099,2252
murB,17259,14004,6096,6998,14332,8526,3890,6354,14330,7600,3564,6167,10848,12761,6096,7658
murD,2555,2181,1525,2437,1493,1282,1707,2121,2089,1630,2096,2844,2267,2120,2820,4096
murG,3259,2511,1613,1863,1777,1417,1325,2539,2567,1722,1194,1584,2038,2143,2072,2502
murI,25227,20341,7790,11252,33876,21081,12457,17528,36333,21115,16069,23883,16651,22896,13680,13921
murQ,1154,1273,575,610,1237,872,588,651,1001,795,491,690,941,855,930,644
mutA,13194,12293,6499,5024,12638,9623,12275,10116,19765,9499,10696,13344,9654,13241,8992,6790
mutL,13223,9767,3263,6990,5723,4533,2975,6732,9887,6433,4434,7763,7290,9576,6376,7363
mutS,11475,9705,5891,6004,11545,7394,5821,5595,12543,6476,4013,4637,6720,8786,7205,6608
mutY,1288,1344,1225,829,1338,713,1303,999,1062,1095,853,895,1137,730,1478,763
nadA,4001,3431,2315,1843,5009,3244,1750,1808,4127,2558,1684,1359,1862,3052,4320,2188
nadB,6080,6301,3724,5581,7118,5387,3408,4590,5392,3856,3690,4229,4402,5025,7531,6675
nadC,662,254,1064,291,537,209,659,231,456,191,193,183,343,225,402,402
nhaA,1924,1217,1106,1415,1419,882,1097,941,1824,976,1114,1458,1201,1390,1872,1818
nifJ,44449,59732,44801,61485,54092,37149,9530,24591,23297,15338,16193,25504,18565,27564,44417,40554
nqrA,4203,5397,5534,3025,3453,3043,4176,1343,2162,2643,3120,1267,3162,2532,6539,2790
nqrB,1062,722,1310,506,626,331,988,296,451,389,351,214,724,410,894,550
nqrD,12461,13472,4872,4954,11682,7900,3773,2480,8878,7007,2693,1632,7404,10188,7852,4445
nqrE,355,394,425,234,372,244,309,103,270,210,133,93,429,274,479,398
nqrF,2565,1914,1458,1697,1911,1092,1054,798,1673,842,983,670,1438,1513,2808,2050
nrdG,1234,1319,548,1039,797,748,270,545,1108,819,476,504,864,1465,1264,1133
nrfA,6051,5335,3308,3422,4427,3065,3687,3020,5126,3275,3939,6178,4378,5499,4149,5035
nrfH,2151,1732,1329,2474,1884,1238,1435,2024,1600,1030,2281,4136,1204,1835,2716,3856
nspC,1848,1810,2240,1369,2629,1679,2225,1321,2080,943,1650,1620,1142,1178,2125,1654
nth,2986,2824,1364,1564,3053,2276,1265,1627,2407,1735,1056,1015,2110,2110,2095,1894
nusA,18114,15562,10756,12987,22510,15168,9993,10729,18464,7393,6432,10533,7720,11430,9756,11528
nusB,5300,5983,7624,5348,5352,4203,6549,3666,4127,3004,4660,3491,3875,3105,7958,5229
nusG,3259,2578,4138,1004,4284,2601,2592,966,3298,1616,968,838,1647,1691,1884,1405
obgE,9176,9355,5694,4523,13802,7933,4889,3776,9787,5542,3161,2796,5415,6064,5781,4101
omp28,8734,9556,3031,4407,7758,6384,3437,3803,9698,6411,3158,3165,7719,8269,7326,6731
panB,1682,2200,1321,2254,2195,1542,1074,1182,1633,1174,953,869,1538,1055,2105,1515
pckA,5258,7386,3994,4051,7942,6144,6133,5611,8831,5805,4555,4746,5202,3903,5906,4723
pdxA,3725,3788,3436,2749,2928,2239,2477,2130,2942,1873,2101,2174,2711,2517,4536,3826
pdxB,14804,14934,7628,11179,14727,12680,8625,10799,15146,7689,9719,10938,7658,12150,12353,10598
pdxH,1369,1696,1621,1882,1489,1413,1896,2245,1359,1566,4012,3442,1486,1040,4743,3149
pdxJ,20362,20731,6384,12581,41686,26840,8926,16410,40512,23798,9367,11840,14945,21225,10199,12239
pepT,7229,4293,3503,4314,5526,2515,3408,2238,6672,1880,1911,2322,2238,4348,3236,3576
PGN_RS00010,1023,687,683,542,554,385,417,464,652,364,351,577,697,543,718,685
PGN_RS00015,13094,14090,4343,6831,6446,6222,2389,7444,6629,4435,2552,4952,8885,9100,5102,4619
PGN_RS00020,1817,1683,1256,1185,2076,1541,2332,1506,2024,1489,2647,2317,1188,1257,1997,1214
PGN_RS00025,1342,1516,1627,1054,1303,1112,1290,517,703,612,836,373,769,650,1420,689
PGN_RS00030,5811,8641,7778,6227,8702,7268,4687,3111,3288,1821,4019,1417,1998,2243,5231,2966
PGN_RS00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS00040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS00045,14708,17290,16811,10394,16417,13405,26156,16750,17852,9112,25962,21526,7953,11334,17708,8685
PGN_RS00050,6202,6099,3627,4116,6448,4695,4327,5673,8144,4354,5258,8038,4751,4742,5565,5185
PGN_RS00055,5767,4927,3605,4078,4881,3397,4347,4168,5822,4186,7505,7264,4412,5043,9216,6962
PGN_RS00060,2067,1651,1425,1317,1682,1140,1119,1163,1689,1142,1119,1527,1269,1267,2283,1382
PGN_RS00065,2307,1768,2149,1496,1716,1170,1784,938,1508,852,1216,904,1115,1098,2095,1439
PGN_RS00070,1296,1113,1135,875,818,621,683,698,834,663,724,526,841,859,1736,1346
PGN_RS00075,2355,1885,1312,1439,888,631,996,910,1171,954,753,688,1636,1678,1769,2051
PGN_RS00080,1384,1128,698,1126,937,628,499,879,1019,708,638,1050,977,1038,1348,1551
PGN_RS00095,2711,2315,1203,1753,1544,1273,959,1251,1122,959,799,1165,1654,1627,1338,1700
PGN_RS00100,1090,772,1022,716,736,491,875,631,550,310,437,658,709,549,675,772
PGN_RS00115,1807,1237,770,1330,1288,592,648,1120,1257,707,898,1538,858,1043,1485,1510
PGN_RS00120,1449,1130,426,991,936,527,370,746,970,591,421,741,872,975,764,1028
PGN_RS00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS00135,3763,2477,1234,2743,2448,1051,1082,2070,3660,1367,1884,5173,2942,4122,2315,7208
PGN_RS00145,1124,849,552,539,538,430,486,557,755,329,515,821,553,753,639,583
PGN_RS00150,3693,3371,2324,2103,3262,2263,2287,2440,3684,1908,2743,2566,2081,2042,3333,2069
PGN_RS00175,318,371,277,256,349,227,311,341,314,248,265,577,340,264,247,472
PGN_RS00180,4889,5042,3968,4649,7606,5706,4398,5340,6285,3545,3731,4434,3120,3828,5831,5039
PGN_RS00185,5780,4692,4370,2900,7999,5894,6770,4982,9090,4120,6196,6287,3294,5100,4312,3740
PGN_RS00195,29291,35159,11285,17027,27124,25796,15078,18392,25678,18186,11564,15375,16790,21797,11777,11150
PGN_RS00210,79,76,101,68,58,52,135,87,38,29,180,111,42,42,204,75
PGN_RS00215,4,2,8,1,2,1,4,6,1,2,14,7,6,3,4,3
PGN_RS00220,199,163,88,118,213,126,94,135,171,104,104,176,129,143,138,134
PGN_RS00225,53,65,89,42,61,44,89,48,38,50,81,54,85,17,160,52
PGN_RS00230,364,361,456,252,333,258,469,233,286,230,486,383,359,248,494,340
PGN_RS00235,125,163,186,89,181,142,205,103,154,78,256,137,77,99,273,78
PGN_RS00240,167,183,147,299,177,166,120,271,175,82,156,231,72,116,198,195
PGN_RS00245,542,917,1294,554,497,666,1088,767,856,928,1770,2141,1086,827,2018,1290
PGN_RS00250,400,476,316,165,389,329,228,208,338,374,407,499,610,500,533,554
PGN_RS00255,220,307,443,181,112,144,409,305,161,115,504,414,205,161,470,210
PGN_RS00260,77,63,238,52,47,37,208,69,71,35,100,67,66,38,131,93
PGN_RS00265,1076,1456,2009,747,980,700,2197,932,1029,483,1850,870,825,739,1825,704
PGN_RS00270,608,896,984,474,492,588,1330,668,681,485,1377,911,699,628,1210,670
PGN_RS00285,60,110,185,51,68,43,135,45,92,42,116,70,98,51,116,103
PGN_RS00300,580,753,1032,628,822,644,977,572,999,485,1102,1203,712,549,1273,1115
PGN_RS00305,6671,7756,10392,5179,7139,5387,10622,6416,8686,4987,13982,12178,6591,6220,13720,11538
PGN_RS00310,328,285,457,156,339,217,492,204,346,151,382,202,253,186,419,236
PGN_RS00315,182,331,420,168,294,207,384,181,307,141,205,124,235,156,377,183
PGN_RS00320,4238,5893,7824,5057,4602,4333,7632,4289,5556,4972,13878,11619,6342,6811,23985,13728
PGN_RS00325,177,129,178,115,104,82,177,125,174,119,200,146,264,131,272,146
PGN_RS00330,197,123,145,80,181,107,117,84,235,120,96,115,221,126,168,88
PGN_RS00335,76,67,93,49,73,47,100,47,109,56,91,92,89,51,151,93
PGN_RS00340,575,494,506,341,804,479,595,336,1010,391,767,552,345,330,770,439
PGN_RS00345,704,607,852,524,762,547,1234,625,1031,486,1595,977,526,495,1325,723
PGN_RS00350,75,95,104,61,70,52,81,57,51,46,67,59,97,33,141,77
PGN_RS00355,516,371,242,151,311,231,182,170,431,260,282,205,505,259,321,199
PGN_RS00360,1044,909,727,666,710,534,783,533,537,448,684,556,1051,706,930,642
PGN_RS00365,2520,1827,1326,1498,1850,1138,1565,1759,2320,1036,1546,2642,1638,2164,1775,2478
PGN_RS00370,6989,5881,3171,3420,5299,3348,4020,3720,7524,3648,6156,8970,5692,7130,5649,6953
PGN_RS00375,3877,3239,969,3020,1627,1012,947,2351,2745,1581,2113,4882,3077,4628,2549,5361
PGN_RS00385,15072,11460,8184,9250,7928,5890,6409,10025,11607,6438,5958,12397,10381,12479,11035,12389
PGN_RS00390,16083,13025,11279,16852,11928,9241,9502,15526,11051,7662,9828,16057,10802,12128,18266,20455
PGN_RS00395,12662,13694,6805,7731,12908,9835,8364,8200,13691,10003,7200,7380,10185,10492,10312,9074
PGN_RS00400,8621,8218,7327,4710,8484,5690,9193,5409,11426,4757,5383,5245,6212,7743,6398,5821
PGN_RS00405,498,664,693,446,527,507,604,291,304,205,458,185,342,313,640,325
PGN_RS00410,5605,4592,6152,4263,3873,2716,5061,3674,3595,1870,4007,3514,3536,3361,4758,4376
PGN_RS00415,1157,1282,2101,1026,863,784,2459,1323,1242,1204,2956,2533,1764,946,3277,2168
PGN_RS00420,53,44,157,60,32,24,170,62,68,50,104,148,104,25,198,215
PGN_RS00425,50,64,60,38,36,27,79,41,61,34,55,43,96,25,77,51
PGN_RS00430,1495,1763,1489,1142,1289,1225,1719,1319,1629,1226,2832,1909,1451,1342,2652,1403
PGN_RS00435,217,227,245,172,225,168,332,137,229,149,275,216,185,199,259,190
PGN_RS00440,118,127,78,99,77,52,83,57,53,63,53,54,122,85,94,144
PGN_RS00445,152,113,230,160,78,73,280,197,108,56,392,160,128,109,325,143
PGN_RS00450,19720,18225,11483,13371,14853,13699,15173,16396,16169,10793,9605,10433,11664,15728,11999,10029
PGN_RS00455,7001,6636,8546,8040,6405,5019,9052,8839,3403,2556,3143,3262,2680,3391,4860,3002
PGN_RS00460,6015,4132,7190,6250,6468,3837,9759,7140,4216,1873,2062,3048,1716,2527,2113,1763
