gene_id,Mut  - 77-KO_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-3_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-4_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP-2_TTCGCT_L001_R1_001 (paired)-1 (GE) - Total gene reads,Mut + DP - 77-KO+DP-3_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77+DP-KO-4_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-2_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-3_CACACA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-4_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-3_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-4_ACAAAC_L001_R1_001 (paired) (GE) - Total gene reads
PGN_RS07885,7622,6204,4798,4228,5136,3456,1332,712,3673,3126,986,780,4796,5894,4637,4912
PGN_RS07890,15127,14083,9864,10426,12029,7379,2915,1910,7799,6841,2851,2037,9674,12651,13094,11245
PGN_RS07900,4152,4139,5114,3465,3821,2929,1487,674,2124,2807,1065,822,3605,3191,7135,3960
PGN_RS07905,435,518,488,385,395,335,247,153,295,248,164,218,409,369,460,590
PGN_RS07915,304,319,424,175,434,338,646,210,405,286,665,395,350,198,534,222
PGN_RS07935,1573,1515,642,1354,964,667,516,1051,1333,773,640,1092,1221,1130,1232,1642
PGN_RS07940,991,774,576,780,817,406,728,911,1168,478,1112,2326,1018,1236,1148,1978
PGN_RS07945,1495,1100,1152,659,1402,869,1714,943,2025,1132,1323,2472,1641,1459,1409,1802
PGN_RS07950,3690,3161,2189,1854,3830,3263,2150,3041,4031,2622,2790,3946,2823,3543,3889,2675
PGN_RS07955,989,790,736,673,840,748,667,885,807,557,740,1462,894,848,1240,1017
PGN_RS07975,5850,4936,3900,4691,4120,2679,2765,3334,4257,2797,2499,2846,3427,2947,4968,5651
PGN_RS07985,1508,1900,612,525,1406,1130,395,354,749,766,312,145,1216,1248,1048,658
PGN_RS07990,111,107,95,63,45,59,121,55,67,77,107,45,190,62,125,39
PGN_RS07995,113,95,103,82,64,55,140,83,68,82,115,88,206,82,179,95
