"gene_id","Wild Type + DP - WT-1_DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP28_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-1_DP28_CACACA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP29_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2_DP28_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2-DP_TTCGCT_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1-28_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2-28_ACAAAC_L001_R1_001 (paired) (GE)-1 - Total gene reads","Pgr Mutant - MUT-1_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-1-28_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2-28_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads"
"PG_RS00600",333,504,892,869,876,878,1370,929,428,2540,614,3175,2104,1115,4112,3270
"PG_RS00610",516,519,814,1051,1223,1284,1258,930,610,2836,671,2699,2167,1279,4146,2979
"PG_RS00615",604,633,823,1042,1263,1125,1327,1227,724,2703,707,2963,2325,1179,4525,3112
"PG_RS00630",1082,975,1464,1557,1861,1358,1757,1536,1245,4778,1264,4264,3902,1751,7316,3954
"PG_RS00635",1005,1609,1969,2245,2942,1820,2445,3095,1349,6946,1989,7162,6122,2099,12631,7020
"PG_RS00645",1910,1835,2894,3713,3630,3319,3949,3288,2784,11875,2727,11714,9684,5035,15416,11973
"PG_RS00650",864,975,1880,1917,1867,1483,2213,2055,1066,6785,1275,7434,5457,3156,10069,8268
"PG_RS00655",4497,4740,9115,12003,8715,9378,12511,9655,5804,38000,6602,31955,23014,18738,42806,42269
"PG_RS00660",1477,2285,4520,4401,4736,2895,6763,6054,1669,14922,2951,17741,10651,4576,26211,20457
"PG_RS00665",384,472,687,865,1029,751,1043,896,620,3435,685,2717,2762,1461,5180,3330
"PG_RS00670",2352,2854,4466,4584,4321,3624,5669,4458,2553,15139,3305,17615,10565,6126,20921,16778
"PG_RS00680",180,213,393,406,478,337,635,495,253,1319,272,1461,1080,611,2374,1529
"PG_RS00685",173,246,433,335,432,262,473,535,182,1043,201,1103,997,320,2043,1142
"PG_RS00690",1434,1679,3070,3672,2969,2335,4296,3790,1313,8510,1620,8608,6859,3049,13905,10187
"PG_RS00695",662,790,1312,1588,1384,958,1880,1795,601,3624,698,4457,3427,1268,6545,4698
"PG_RS00730",18,27,63,59,83,38,95,83,25,181,40,225,166,53,572,240
"PG_RS00735",66,81,171,185,165,147,279,169,92,468,84,640,474,266,857,595
"PG_RS00740",7568,8099,8066,13700,12972,9767,11088,16712,7862,30893,8125,26792,28537,12964,44613,29348
"PG_RS00745",372,882,1083,1011,1813,420,1751,2882,281,2478,766,3909,2643,323,7428,3282
"PG_RS00750",2025,880,892,2828,3048,1557,1047,1317,3123,8438,1961,3524,10033,3145,10084,3841
"PG_RS00755",736,743,1253,1352,1476,1065,1844,1444,998,4553,975,4013,3535,1902,6852,4451
"PG_RS00760",14,22,42,34,66,24,73,62,12,142,22,143,110,50,282,237
"PG_RS00765",76,64,135,225,213,158,259,190,109,925,139,549,748,662,1171,814
"PG_RS00770",93,101,167,239,197,213,321,252,70,682,91,549,451,361,1132,759
"PG_RS00775",10540,8127,10606,20806,13742,19100,14636,11347,8012,50761,7796,22955,22911,30133,33518,32543
"PG_RS00785",1152,1117,2016,3011,2409,2176,3093,2682,1130,7342,1195,6051,5162,5006,10628,7714
"PG_RS00790",358,231,404,892,585,659,681,469,399,2335,362,1407,1745,1266,3241,1747
"PG_RS00795",96,45,85,219,139,126,113,75,133,533,104,310,367,287,856,271
"PG_RS00800",165,151,226,353,321,232,383,357,160,896,163,759,865,534,1783,1298
"PG_RS00805",1664,691,640,3148,3367,2567,1146,1133,2414,8605,2631,1494,8564,8229,17660,4746
"PG_RS00810",338,2,1,472,442,323,351,259,727,1867,502,181,2152,2583,2893,2424
"PG_RS00815",107,43,59,179,197,128,159,150,149,626,103,233,717,577,1255,578
"PG_RS00820",156,86,113,281,309,251,268,220,209,613,179,422,777,468,1424,771
"PG_RS00825",734,412,598,1932,1567,1592,1537,1109,1030,4798,1256,2429,4989,4802,8081,5380
"PG_RS00830",99,100,160,268,336,235,342,246,116,917,160,693,799,744,1643,1177
"PG_RS00835",377,280,437,787,793,629,786,660,581,2481,539,1746,2445,1862,4746,2567
"PG_RS00840",1064,740,1020,1829,2117,1283,1866,1913,1415,5731,1336,4716,6529,3897,11692,6450
"PG_RS00845",11,0,10,0,2,0,0,0,10,0,0,60,36,37,243,138
"PG_RS00850",9582,18917,23948,20392,41745,11775,26827,53136,11182,75184,24303,93880,76799,14334,251603,107227
"PG_RS00855",5404,6415,13057,18246,17752,10583,16225,17858,7116,51984,13546,50596,47460,18893,97251,52367
"PG_RS00860",164,83,170,336,229,129,216,160,264,778,246,851,841,403,1391,453
"PG_RS00865",415,379,749,1017,986,789,934,729,442,2438,575,1897,2000,1064,4407,1821
"PG_RS00870",255,193,326,514,418,356,526,353,277,1208,330,1062,925,644,2025,1129
"PG_RS00875",259,196,413,669,626,333,620,504,343,1713,375,1471,1826,649,4148,1541
"PG_RS00880",3064,2021,3991,9220,6713,4655,5199,4038,4188,18311,4824,14270,15467,8302,28299,12320
"PG_RS00885",1251,646,557,2542,2312,1851,1036,1139,1167,4558,1035,1340,4686,2839,7328,2577
"PG_RS00890",1405,379,331,2025,1704,933,565,511,1909,4106,1569,873,4895,2260,9239,1692
"PG_RS00895",483,269,442,1135,844,579,443,313,960,2922,814,1665,2255,1252,4033,1624
"PG_RS00900",419,193,250,1057,767,816,521,371,25197,74371,20961,35632,85315,33736,116334,33311
"PG_RS00905",2000,2513,4592,5389,4886,3365,7171,7146,1863,14274,2797,12004,10518,4638,22030,14597
"PG_RS00910",264,199,323,732,485,492,493,370,348,1709,356,1049,1212,1052,2443,1426
"PG_RS00915",299,196,314,772,478,407,524,465,368,2058,424,946,1368,1046,2608,1410
"PG_RS00925",59,23,52,120,84,73,122,82,45,309,53,157,210,158,618,296
"PG_RS00930",1996,1508,1993,5884,3545,3799,3674,2944,1719,12896,2131,5626,7063,7359,13467,10298
"PG_RS00935",223,185,361,572,464,445,588,439,279,1308,287,1398,990,828,1842,1342
"PG_RS00940",43,37,53,130,91,68,125,81,55,325,69,206,254,144,451,259
"PG_RS00945",970,1043,1946,3145,2629,2580,3735,2536,991,8063,1460,5614,5114,4190,11549,8268
"PG_RS00950",174,170,261,417,482,553,580,487,269,1317,313,1075,2229,1913,3582,2526
"PG_RS00955",337,390,819,760,703,639,1040,881,434,2391,523,2882,2253,1436,4588,3104
"PG_RS00965",535,580,699,856,891,509,646,978,496,2203,534,1868,2222,701,4093,2172
"PG_RS00975",48,33,60,104,142,224,349,123,77,324,75,177,465,403,1157,843
"PG_RS00980",50,61,40,86,87,93,149,97,64,255,59,163,269,184,776,510
"PG_RS00985",86,73,90,158,179,212,357,243,92,447,133,319,669,445,1267,1121
"PG_RS00990",247,342,442,468,552,305,722,811,236,1480,329,1237,1463,689,3752,2902
"PG_RS00995",125,125,167,191,266,183,324,315,130,662,145,526,901,479,1754,1143
"PG_RS01000",15,6,19,8,13,20,40,19,10,59,15,49,75,131,181,121
"PG_RS01005",29,28,27,40,35,57,39,48,25,103,43,46,97,78,226,101
"PG_RS01010",10,5,8,31,18,23,14,17,21,55,22,32,62,24,101,36
"PG_RS01015",167,115,235,375,376,484,489,287,136,813,190,734,624,735,1169,1169
"PG_RS01020",347,231,240,522,370,333,337,400,260,1324,276,758,1064,582,1549,1022
"PG_RS01025",433,505,591,1045,857,759,917,833,366,2675,498,1635,1327,1254,2903,2470
"PG_RS01030",592,129,1,354,63,658,325,301,678,2873,686,1218,1734,1608,4396,2119
"PG_RS01035",5378,6848,9353,8578,11424,7031,10783,16441,4749,24338,5135,24542,23807,8490,47269,31725
"PG_RS01045",2431,2916,2962,4148,4861,3564,4400,5032,2344,9683,2428,7076,9658,4053,15673,11537
"PG_RS01055",414,358,558,866,768,363,649,798,618,2806,713,2843,2606,962,4970,2407
"PG_RS01060",4699,6089,5868,6349,10186,4283,5682,11698,4881,16744,5907,15765,21182,4225,38107,14990
"PG_RS01070",192,134,105,356,360,278,137,197,246,954,262,288,828,479,2108,491
"PG_RS01075",469,329,546,863,904,542,743,772,499,2413,521,1580,1876,899,4358,1809
"PG_RS01080",588,647,1247,1420,1329,972,1810,1289,784,3879,866,4290,2888,1416,5697,4182
"PG_RS01095",332,182,520,575,612,497,883,376,520,1973,507,2103,1629,1077,2561,1494
"PG_RS01100",4582,3383,3108,10864,12308,8016,4626,7177,4785,24139,6258,9031,22642,9870,31949,12322
"PG_RS01110",697,1612,4304,3130,5238,1050,6637,6139,850,11139,2367,19848,8242,983,28080,16090
"PG_RS01115",422,507,458,582,863,388,410,777,459,1422,593,1170,1888,483,3317,1165
"PG_RS01120",521,234,232,420,616,233,194,215,723,1071,477,472,1100,356,1832,295
"PG_RS01130",33,40,42,41,53,25,51,53,46,168,37,188,179,46,463,115
"PG_RS01135",8183,8736,11772,15576,19300,12979,15811,18809,9392,39896,10638,34172,41160,14421,78078,36162
"PG_RS01140",1116,1081,3811,3110,2381,2409,6012,2267,1078,8003,1399,10969,4938,4342,12362,7326
"PG_RS01155",87,63,85,175,213,133,143,127,142,547,166,424,529,238,1178,374
"PG_RS01175",378,158,129,340,222,173,147,276,448,758,371,427,1306,689,1527,370
"PG_RS01180",2923,2294,2667,4810,4601,3641,3862,3783,3565,11587,3046,8593,10490,4849,14449,8679
"PG_RS01185",290,153,204,511,426,233,308,281,392,1300,400,760,1267,611,1949,785
"PG_RS01195",465,475,814,1179,1246,653,1202,1483,507,2639,608,2043,2344,1014,5723,2535
"PG_RS01210",772,866,981,1412,1299,1157,1227,1531,888,3372,802,2790,3065,1320,4638,3137
"PG_RS01225",149,106,280,318,329,228,364,275,192,866,165,911,969,564,1655,950
"PG_RS01230",640,493,383,1238,2567,1313,1023,1622,934,3198,905,1052,6344,3352,13595,4277
"PG_RS01235",6554,5439,8021,13245,11203,7537,10633,10726,7262,28609,7395,24359,24445,9579,37073,21620
"PG_RS01240",800,479,703,1220,1244,776,786,639,806,2368,694,1917,2275,898,4100,1279
"PG_RS01245",43,24,46,68,58,40,46,44,39,212,47,150,163,51,360,97
"PG_RS01250",719,598,1171,1614,1397,1252,1663,1351,705,4531,800,2877,3210,2280,6953,3949
"PG_RS01255",47,31,38,70,64,50,40,51,63,214,53,110,189,118,433,149
"PG_RS01260",87,133,123,149,202,123,210,298,114,413,135,487,550,204,1213,621
"PG_RS01265",9,16,27,30,40,30,38,34,18,90,37,61,115,34,321,123
"PG_RS01270",11,12,14,15,31,31,28,28,27,66,20,54,81,32,353,91
"PG_RS01275",15,17,24,31,41,21,23,23,30,100,28,90,95,64,322,94
"PG_RS01280",393,206,244,1333,836,1055,526,461,691,3416,748,944,2390,2919,4378,1840
"PG_RS01285",722,564,1100,1579,1338,1040,1604,1217,956,6244,1122,4898,3668,2542,7349,4992
"PG_RS01290",1296,1172,1746,2085,2596,1513,2498,2258,1422,6529,1759,5688,5856,2316,10224,5796
"PG_RS01310",170,96,154,366,216,163,209,223,247,852,234,643,752,341,1322,661
"PG_RS01315",635,493,662,1125,1100,714,994,1095,807,2660,714,1745,2748,977,4902,2262
"PG_RS01320",308,339,281,564,727,305,383,660,308,1107,408,647,1330,253,2882,796
"PG_RS01325",98,122,158,185,181,145,181,155,156,687,135,552,549,309,1066,595
"PG_RS01345",340,324,356,602,518,450,497,478,283,1079,220,632,819,516,1693,982
"PG_RS01350",56,56,91,127,131,93,163,95,185,897,197,847,623,451,1623,713
"PG_RS01355",317,461,761,1018,1125,836,1889,1154,1384,9996,2014,6783,7721,2742,17151,10727
"PG_RS01365",888,953,1758,2549,2234,2510,4358,2718,3630,24167,4597,22723,19297,11147,39038,25132
"PG_RS01370",457,509,933,1421,1295,1155,2180,1607,1686,11724,2531,12402,10216,4556,23369,12136
"PG_RS01375",191,192,271,445,411,445,548,417,561,3717,737,3022,3189,1674,6354,3557
"PG_RS01380",36,26,50,101,62,80,109,61,70,432,82,368,383,206,1171,408
"PG_RS01385",91,74,168,193,228,176,318,215,197,950,195,1659,804,502,1648,896
"PG_RS01390",232,265,263,473,473,416,390,424,194,1078,218,623,866,474,1416,912
"PG_RS01395",288,282,483,579,690,463,692,611,241,1532,270,1029,1130,661,2924,1618
"PG_RS01400",660,566,733,1431,1124,1263,1151,886,531,2372,569,1483,1765,1528,2699,1940
"PG_RS01405",5,6,4,10,12,10,7,7,6,29,3,14,19,11,74,17
"PG_RS01425",531,518,878,1144,1242,1019,1525,1269,549,2978,605,2349,3150,1695,6275,3804
"PG_RS01430",1240,1280,2198,2829,2258,2856,3082,1845,1171,5885,1528,4860,3684,2985,6374,4844
"PG_RS01435",316,356,580,587,633,431,739,730,346,2019,431,2017,1612,646,3766,1983
"PG_RS01445",822,846,1417,1759,1261,1372,1817,1275,819,4528,988,4322,2673,1873,4956,4375
"PG_RS01450",670,860,1163,1512,1370,1523,1672,1340,626,3200,797,2869,2215,1602,3847,3490
"PG_RS01460",408,1042,1278,1118,1821,526,1435,2677,255,3606,705,3518,2100,555,8415,5415
"PG_RS01465",543,890,1253,1174,1527,785,1489,1968,498,3301,745,4215,3202,1053,6252,4268
"PG_RS01470",703,1054,2017,1747,1718,1406,2569,2116,785,5258,1097,5798,3465,1972,8169,6380
"PG_RS01475",2472,3607,4829,4247,4928,3164,5878,6037,2020,12465,2481,11905,9543,4036,18465,15179
"PG_RS01485",2177,2551,3831,4903,5017,4179,5628,5334,1801,12151,2506,8257,7233,4183,17881,12716
"PG_RS01490",9490,10040,20346,23555,21075,18131,25525,19342,11570,93042,15809,79833,62087,33500,122911,94835
"PG_RS01495",535,509,882,1009,945,854,1164,963,811,4730,841,4835,3745,2379,6029,4918
"PG_RS01500",159,212,482,418,326,256,576,415,231,1878,318,3055,1568,923,3255,2326
"PG_RS01510",653,548,654,983,1111,807,864,761,706,2804,723,1777,2855,1138,4121,2007
"PG_RS01515",1077,1120,1206,1477,2318,1030,1204,2740,1018,3245,1068,2643,4144,965,7435,3210
"PG_RS01520",2891,870,1238,4097,3249,1644,1177,1285,3987,8490,3169,2926,7612,3205,12555,2402
"PG_RS01530",3362,4084,5192,6756,6279,4801,6397,6792,3342,14097,3467,12551,11473,4973,20652,14198
"PG_RS01535",909,980,1166,1414,1478,1052,1393,1553,781,3332,780,2374,2710,1148,4736,2886
"PG_RS01540",136,71,109,297,246,173,207,185,118,406,114,227,379,185,804,267
"PG_RS01555",194,177,262,250,250,263,421,250,174,582,138,568,483,309,1088,606
"PG_RS01560",4281,4678,5695,8944,8908,4878,7146,9663,1623,9707,2025,6517,6458,3489,11542,8065
"PG_RS01565",98,107,151,201,172,200,194,189,144,599,137,529,494,288,1144,644
"PG_RS01575",836,881,1174,1459,1578,1132,1483,1532,1038,3894,1157,3637,3812,2132,6225,3623
"PG_RS01580",1986,2306,2431,3592,3689,2757,2862,3739,2185,8719,2313,6660,7664,2763,13377,8303
"PG_RS01590",281,334,629,768,856,631,821,780,389,1971,537,1759,2389,887,5570,2101
"PG_RS01595",94,92,176,191,247,151,202,254,126,524,136,584,560,210,1359,557
"PG_RS01600",687,615,701,1394,1452,1036,1037,1329,810,3437,795,2143,3579,1608,5862,3008
"PG_RS01605",157,153,202,309,405,250,354,411,219,932,244,828,1241,496,2617,1103
"PG_RS01610",1447,1207,1686,2736,2849,2293,2200,2405,1927,7334,1839,6647,7862,4015,12909,7419
"PG_RS01615",647,396,556,1144,1218,865,718,670,1533,4151,1287,1913,5566,2682,7847,2502
"PG_RS01620",587,460,949,1131,1002,678,1174,1012,543,3077,563,2354,2195,1160,4424,2742
"PG_RS01625",880,1111,1833,1899,1774,1316,2554,2354,633,4449,876,4003,3899,1603,7131,5028
"PG_RS01630",763,942,1547,1453,1863,988,2231,2302,452,3630,625,3255,2653,938,6536,4125
"PG_RS01635",1010,898,1404,2019,2066,1488,2120,2114,992,5129,1206,3727,4821,1868,8818,4657
"PG_RS01645",302,110,91,485,421,244,169,177,364,975,336,259,950,523,1509,471
"PG_RS01665",1047,875,1437,2628,1636,1515,1933,2155,890,8197,995,4344,4636,3556,8493,6492
"PG_RS01675",852,746,1201,1580,1161,968,1508,1283,782,4048,745,4128,2807,1725,4944,4281
"PG_RS01680",1394,492,763,3264,2741,1473,1334,1031,2096,6015,2450,2347,7428,2567,13532,2870
"PG_RS01690",423,337,783,894,828,741,1276,918,406,2719,533,2536,2031,931,4901,2597
"PG_RS01695",2458,796,1332,5735,3451,2171,2108,1596,3360,14293,3821,4754,10473,6730,17536,5659
"PG_RS01705",1,0,0,5,1,0,0,2,1,4,2,3,1,5,12,5
"PG_RS01710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS01720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS01740",537,918,2648,2263,3357,956,4015,4057,486,7000,1136,10004,5019,1218,18291,11602
"PG_RS01745",1212,1713,6123,7569,5606,5369,9646,5836,1247,20174,2507,20783,13667,8591,27995,23435
"PG_RS01765",125,94,167,251,228,176,244,168,154,643,125,659,486,336,911,466
"PG_RS01770",21,9,49,48,55,50,89,43,46,164,41,249,184,145,330,172
"PG_RS01785",689,652,966,1336,1299,895,1153,1366,858,4046,904,3543,3361,1532,6830,3495
"PG_RS01795",122,132,223,285,213,139,264,222,112,582,150,786,431,222,1048,639
"PG_RS01800",919,650,851,1100,1170,1048,916,930,769,2662,684,1842,2016,1343,2999,1653
"PG_RS01810",29,15,14,44,38,23,19,27,31,78,24,57,89,42,231,63
"PG_RS01815",132,118,59,190,208,105,69,151,170,433,117,183,471,138,681,242
"PG_RS01820",2932,1605,1562,4637,3956,2033,1839,2844,3699,9019,2974,4456,10201,3260,15300,5456
"PG_RS01825",1691,905,1275,2592,3070,788,1186,2693,2405,6297,1966,4962,9458,1702,14022,3810
"PG_RS01835",467,547,916,1391,1165,1164,1117,1057,630,4068,876,3731,2993,1957,5526,3635
"PG_RS01840",1573,1200,2132,2949,2485,2183,2610,2249,1926,8896,1881,7489,6103,3471,11532,6658
"PG_RS01845",1640,1046,1930,3203,2678,2011,2675,2206,1683,7611,1646,5809,6586,3286,12042,5840
"PG_RS01865",3116,1277,1781,8507,3844,3289,3139,2872,2705,10640,2283,3334,11271,6292,19172,8255
"PG_RS01870",720,709,487,1049,2639,2474,1458,1827,1007,3103,1070,1193,5740,4843,10648,5679
"PG_RS01880",3091,892,1434,5503,3377,2244,1708,1353,3208,7062,2780,2796,7068,2892,9692,2517
"PG_RS01885",115,81,290,268,199,179,287,200,129,792,150,909,517,241,1032,519
"PG_RS01890",204,161,207,307,358,270,291,239,300,871,243,721,829,370,1562,691
"PG_RS01910",9829,15443,27926,30585,25573,30946,59678,30859,11170,99276,19896,95807,53960,41497,124325,112606
"PG_RS01915",565,877,1408,1341,1459,1422,2471,1752,693,5024,1092,5600,4366,2568,8057,5861
"PG_RS01920",115,143,133,149,241,166,194,198,131,507,147,500,638,318,1319,757
"PG_RS01925",190,271,321,279,414,237,402,387,191,963,260,1407,1058,435,1961,1149
"PG_RS01930",207,239,298,352,513,364,366,453,282,1283,274,1000,1150,732,3212,1468
"PG_RS01945",425,326,377,550,768,347,494,650,252,1097,306,521,1155,321,2198,912
"PG_RS01950",219,135,109,249,306,141,131,177,192,400,182,189,542,180,1176,262
"PG_RS01955",75,61,73,117,141,70,97,131,69,288,76,211,325,144,657,281
"PG_RS01960",837,867,1091,1377,1357,836,1036,1348,926,3685,959,3166,3318,1240,5894,3235
"PG_RS01970",685,731,1459,1455,1326,837,1666,1652,685,4238,763,3635,2779,1146,6060,3873
"PG_RS01975",1095,1217,2119,1753,2171,1165,2146,2586,1459,7537,1278,6728,5931,1953,11222,7129
"PG_RS01985",104,154,263,220,295,119,288,349,155,929,141,1238,887,242,1842,1021
"PG_RS01990",76,72,130,144,165,82,116,137,116,547,79,546,555,197,897,451
"PG_RS01995",473,620,1061,918,1223,605,1547,1536,448,2912,683,3722,2233,701,6742,3401
"PG_RS02000",4167,4399,6874,10745,9898,8071,9773,9522,4766,28463,6152,20358,22670,12433,46025,26640
"PG_RS02010",1069,393,842,2482,1650,1031,1158,972,1850,5754,1462,3319,6798,2709,9080,2888
"PG_RS02015",3389,2739,3994,7037,6918,5149,5897,5985,3758,18763,4214,10616,15250,7959,31810,14933
"PG_RS02020",470,524,592,788,999,652,806,840,527,1978,539,1724,1917,986,3268,1665
"PG_RS02025",398,246,287,1018,1400,377,546,697,396,1676,753,701,2138,509,5499,1102
"PG_RS02030",1372,485,640,3985,2044,1545,1063,838,1672,5113,2043,1186,5508,2305,6856,1981
"PG_RS02045",0,0,0,1,0,0,2,0,0,14,0,1,0,3,119,1
"PG_RS02050",364,244,288,504,467,267,304,414,412,1140,426,994,1217,481,2843,856
"PG_RS02055",563,942,960,980,1851,831,1247,1847,562,3406,806,2807,3618,960,7894,3457
"PG_RS02060",1411,1557,3423,3734,3129,2367,4515,3688,1673,10347,2226,12178,9088,3834,17204,9955
"PG_RS02065",2691,2579,3606,4138,4560,3873,4410,4435,2379,11987,2461,8508,8515,4380,17316,11186
"PG_RS02070",1855,1302,2420,4630,3619,3421,3779,2714,1678,8197,2023,6189,5637,4377,10531,6875
"PG_RS02075",372,514,777,971,1029,727,974,1081,421,2461,622,2596,1853,704,3734,2445
"PG_RS02080",560,691,722,799,1161,677,842,1126,634,2381,670,2198,2485,716,4881,2227
"PG_RS02085",924,850,1155,1141,1192,1275,1488,905,780,2659,622,2329,1996,1048,3244,2751
"PG_RS02090",2596,3030,4657,6085,5710,4150,6385,5934,2557,14675,3435,13789,10376,5330,22102,14983
"PG_RS02100",363,152,204,847,680,473,363,272,966,2934,838,929,2649,1545,3946,1263
"PG_RS02105",215,199,253,335,370,285,291,299,312,1272,308,1074,1057,509,1863,882
"PG_RS02115",338,349,516,607,575,414,658,723,325,2127,435,1856,1515,869,3824,2288
"PG_RS02120",871,1107,1544,2583,1732,2274,2638,1863,1004,6644,1463,4412,3975,3533,8432,7356
"PG_RS02125",176,138,272,312,306,259,319,272,179,808,181,686,616,321,1244,608
"PG_RS02130",112,96,179,242,207,191,228,182,156,669,167,614,624,338,1189,587
"PG_RS02140",2119,2254,2619,3342,4120,2927,3782,4060,1864,8606,2080,6759,8406,3203,12933,9005
"PG_RS02150",1160,1098,1508,1915,2261,1421,1896,2148,1359,6201,1447,5872,5508,2213,8988,5267
"PG_RS02160",330,461,573,583,769,485,813,674,369,1256,423,1827,1228,487,2491,1505
"PG_RS02165",601,385,152,1076,825,684,641,514,236,1000,347,200,2365,2299,1903,1224
"PG_RS02175",673,480,770,1714,1378,1552,1295,942,786,4127,795,2518,2796,2494,4862,3596
"PG_RS02180",409,576,1061,947,1792,836,1829,2229,381,2963,549,3247,3215,1215,8485,4904
"PG_RS02185",5491,9742,14891,14821,26923,12861,27018,41145,4866,39934,8845,47361,58533,16504,133622,80019
"PG_RS02195",26611,18050,19957,53527,45622,34408,34198,32576,355,1440,364,533,1041,777,2305,853
"PG_RS02200",99,122,193,255,221,174,307,264,83,496,107,405,396,278,825,530
"PG_RS02205",50,45,53,99,104,65,101,97,58,277,69,128,220,92,526,245
"PG_RS02210",47,32,57,115,133,58,78,58,121,304,90,154,312,205,532,194
"PG_RS02220",942,1102,1924,2748,2161,2364,3301,2175,1206,7602,1688,6901,4881,3333,10339,7815
"PG_RS02230",1922,2281,3997,5880,5362,4673,6599,5404,2288,14384,3475,13598,11346,6301,22704,15181
"PG_RS02245",83,111,181,181,200,115,217,171,153,695,146,755,592,256,1194,587
"PG_RS02250",149,117,219,312,254,206,219,210,196,963,177,763,629,404,1435,742
"PG_RS02260",425,398,716,1278,929,626,766,902,540,3257,718,2759,2285,1167,4818,2520
"PG_RS02270",328,385,631,773,792,360,591,824,391,2244,472,2525,1867,502,4137,2263
"PG_RS02280",887,733,962,1534,1823,1138,1226,1541,949,4114,1044,3213,4016,1730,7134,3414
"PG_RS02285",902,366,395,1320,1492,936,591,665,1445,3707,1025,1170,4565,2208,6969,2015
"PG_RS02290",1531,1299,1564,2947,2646,1884,2116,2344,1631,6109,1487,4159,5830,2971,9315,6119
"PG_RS02295",397,428,648,1004,959,911,1095,958,391,2033,464,1580,1740,1200,3211,2572
"PG_RS02300",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PG_RS02310",237,209,777,1294,422,684,1364,987,273,3940,459,2131,1302,2847,7109,6810
"PG_RS02320",1733,1711,2042,4533,4112,3965,3294,3558,2072,10709,2452,5263,8605,4816,16813,8764
"PG_RS02325",1334,812,2014,3015,2240,2186,3064,2094,1149,8475,1941,5658,5697,5284,11244,8826
"PG_RS02335",445,382,709,1109,797,490,695,764,542,3667,649,2673,2410,1127,5441,2298
"PG_RS02350",1596,1575,2358,3331,2849,2704,3223,2989,1152,7846,1433,5429,5702,4548,10698,8585
"PG_RS02355",156,155,244,363,361,287,534,438,124,852,167,615,730,402,1570,1156
"PG_RS02360",0,0,0,2,0,5,0,0,0,13,1,0,2,4,1,2
"PG_RS02365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS02370",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"PG_RS02375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS02385",1471,1282,2148,3072,3251,3417,3694,2793,2387,10238,2641,9693,9973,8209,17132,11756
"PG_RS02390",355,175,157,777,662,417,266,297,468,1445,464,288,1487,822,3127,648
"PG_RS02395",594,212,183,845,669,481,270,249,568,1340,456,384,1299,655,1709,533
"PG_RS02400",2401,2915,3285,3742,5743,2541,3756,6488,2699,11506,3225,10655,13130,3395,25540,13186
"PG_RS02405",232,189,235,401,506,341,501,408,229,882,216,680,957,403,1852,756
"PG_RS02410",328,350,378,560,652,553,629,647,380,1315,372,1057,1193,482,2346,1122
"PG_RS02415",411,452,657,828,963,634,1121,939,389,2057,544,2018,1981,788,4249,1955
"PG_RS02420",10,7,13,21,15,24,12,9,4,44,11,27,42,29,101,28
"PG_RS02425",47,20,22,60,60,51,33,47,38,141,45,66,123,69,252,109
"PG_RS02430",465,445,712,842,1109,517,1010,1300,491,2300,572,2350,2689,866,5244,2659
"PG_RS02440",1164,1310,7326,5062,2346,3438,12070,3047,1554,19447,2146,36292,6713,6896,19517,18633
"PG_RS02450",284,209,306,431,381,337,541,248,268,1330,352,1336,900,554,1916,919
"PG_RS02455",4934,6920,10528,11231,12182,6666,11085,17501,5553,29430,8122,37649,27676,8448,63775,35134
"PG_RS02460",619,315,625,1856,1154,1294,891,687,1401,7138,1195,2342,5384,4216,8237,4314
"PG_RS02465",153,38,26,264,183,111,31,57,218,466,217,49,488,225,606,130
"PG_RS02470",27,24,35,85,57,32,37,34,54,178,49,111,203,60,579,123
"PG_RS02475",537,261,974,1572,874,722,1107,532,717,2976,776,3314,1846,1338,3750,1648
