"gene_id","Raw Counts WT Replicate 1","Raw Counts WT Replicate 2","Raw Counts WT Replicate 3","Raw Counts II1046 Replicate 1","Raw Counts II1046 Replicate 2","Raw Counts II1046 Replicate 3"
"BP1026B_I0423",4173,2757,3180,1895,1809,2062
"BP1026B_I0426",693,567,693,294,281,344
"BP1026B_I0425",2748,2206,2743,1088,1061,1242
"BP1026B_I0427",572,316,360,230,240,261
"BP1026B_I0428",243,111,149,113,93,121
"predicted RNA",89,31,26,42,53,43
"predicted RNA",246,92,107,106,94,146
"BP1026B_I0429",1188,724,780,692,715,773
"BP1026B_I0430",2197,1203,1431,1334,1244,1358
"predicted RNA",119,38,35,24,25,20
"predicted RNA",189,58,55,60,35,24
"BP1026B_I0431",1273,670,680,773,709,766
"BP1026B_I0432",1605,1184,1353,1253,1283,1437
"BP1026B_I0433",268,184,211,230,237,261
"BP1026B_I0434",594,344,454,521,524,562
"BP1026B_I0435",332,230,253,274,306,333
"BP1026B_I0436",1467,1127,1306,1288,1353,1445
"predicted RNA",370,312,328,277,256,284
"BP1026B_I0437",12531,7172,8149,8910,8948,10067
"BP1026B_I0438",151,82,96,126,113,128
"BP1026B_I0439",2576,2073,2435,3009,3046,3311
"BP1026B_I0440",3888,3185,3835,3569,3598,3948
"BP1026B_I0441",6697,4189,5382,5530,5351,6242
"BP1026B_I0442",1242,855,891,880,880,1002
"BP1026B_I0443",1209,661,726,832,824,879
"BP1026B_I0444",1841,991,1079,997,1000,1035
"BP1026B_I0445",3842,2352,2780,3450,3417,3732
"BP1026B_I0446",5761,6080,6908,2806,2871,3186
"BP1026B_I0447",41,36,37,13,10,8
"predicted RNA",157,150,198,117,127,135
"BP1026B_I0448",11081,8194,9941,5345,5315,5764
"BP1026B_I0449",239,127,161,156,135,155
"BP1026B_I0450",335,264,269,303,297,359
"BP1026B_I0451",199,110,127,126,135,135
"BP1026B_I0452",245,121,129,141,123,138
"BP1026B_I0453",315,132,173,165,162,169
"BP1026B_I0454",38,27,32,15,20,24
"BP1026B_I0455",88,37,44,35,35,47
"BP1026B_I0456",97,55,61,51,52,66
"BP1026B_I0457",134,69,72,75,66,63
"BP1026B_I0459",65,33,47,39,37,42
"BP1026B_I0458",74,67,70,60,55,65
"BP1026B_I0460",201,115,126,99,88,122
"BP1026B_I0461",31,18,19,18,17,17
"BP1026B_I0462",34,24,35,34,44,38
"BP1026B_I0463",78,37,46,38,45,29
"BP1026B_I0464",1824,695,842,642,589,629
"BP1026B_I0465",278,178,204,182,193,186
"BP1026B_I0466",1450,792,899,587,604,660
"BP1026B_I0467",1860,992,1130,1003,1019,1082
"BP1026B_I0468",2635,1446,1718,1047,1026,1158
"BP1026B_I0469",2597,1453,1685,1370,1290,1575
"BP1026B_I0470",3266,1551,1723,2381,2283,2427
"BP1026B_I0471",92756,51997,59814,52101,51871,58430
"BP1026B_I0472",1036,789,918,681,727,740
"BP1026B_I0473",4440,2997,3667,2763,2740,3134
"BP1026B_I0474",2556,1617,1901,1813,1891,1982
"BP1026B_I0475",6015,3040,3192,3825,3671,4185
"BP1026B_I0476",1941,1098,1228,1008,999,1089
"BP1026B_I0477",1976,1118,1250,1053,981,1064
"BP1026B_I0478",496,311,351,342,356,367
"BP1026B_I0479",6188,3825,4416,5219,5355,5735
"BP1026B_I0480",2230,1584,1799,1896,1988,2121
"BP1026B_I0481",1647,991,1080,986,1035,1179
"BP1026B_I0482",18731,15841,16989,16919,17407,18617
"BP1026B_I0483",6034,4484,4877,4738,4735,5064
"BP1026B_I0484",46294,32032,37892,37104,36172,42855
"BP1026B_I0485",5399,4296,4842,4949,4938,5502
"BP1026B_I0486",7340,3979,4471,5238,4912,5319
"BP1026B_I0487",1552,871,1001,765,768,842
"BP1026B_I0488",237,189,209,187,200,190
"BP1026B_I0489",1173,756,842,836,736,797
"BP1026B_I0490",4046,2217,2544,2359,2342,2561
"BP1026B_I0491",1239,900,1199,1254,1258,1409
"BP1026B_I0492",393,220,286,340,364,348
"BP1026B_I0493",806,551,566,655,591,668
"BP1026B_I0494",1867,767,917,943,934,972
"BP1026B_I0495",3202,1654,1850,1817,1742,1861
"BP1026B_I0496",1015,935,1134,1112,1176,1380
"predicted RNA",222,130,139,122,124,142
"BP1026B_I0497",753,562,670,820,806,958
"BP1026B_I0498",303,204,272,307,320,341
"BP1026B_I0499",689,577,651,622,678,752
"BP1026B_I0500",594,404,452,493,568,585
"BP1026B_I0501",759,600,750,1165,1165,1325
"predicted RNA",182,108,137,201,197,225
"BP1026B_I0502",1040,855,1026,1345,1407,1618
"BP1026B_I0503",1557,1771,2130,3002,3035,3514
"predicted RNA",20,30,40,104,108,103
