"gene_id","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3"
"Afu1g04800",1522,1313,1315,2384,1930,1822,758,886,693,891,765,1054
"Afu1g04810",422,373,311,538,448,321,346,311,322,279,289,376
"Afu1g04820",1944,1464,1591,1215,886,716,1521,1625,1371,1673,1352,2052
"Afu1g04830",1116,886,971,574,336,321,144,103,111,74,43,64
"Afu1g04840",1744,1483,1447,2121,2095,1760,1073,865,904,1331,1211,1437
"Afu1g04845",9,3,0,9,7,5,3,4,4,7,12,11
"Afu1g04850",2878,2171,2321,2491,2028,1885,1759,1745,1464,1549,1480,1895
"Afu1g04860",2157,1970,1988,2768,3004,1936,834,1084,703,593,659,830
"Afu1g04870",216,171,193,174,258,162,2453,856,2176,60,31,46
"Afu1g04880",8021,6715,6997,8551,7684,6160,3971,3457,3444,2115,2036,2565
"Afu1g04890",2713,2047,2308,2390,1724,1491,3134,2946,2750,1887,1882,2574
"Afu1g04900",5030,3747,3639,3711,3056,2997,2653,4206,2275,3907,4272,4848
"Afu1g04910",2849,2453,2668,2623,1947,1907,1515,1252,1417,679,644,947
"Afu1g04920",2442,2017,1977,715,546,609,1705,1901,1526,1227,1287,1602
"Afu1g04930",7634,6327,6147,5708,5773,3834,12785,12490,11652,5867,5000,7785
"Afu1g04940",5251,4086,4136,3370,2957,2271,6775,6153,5951,6540,5623,7694
"Afu1g04950",6215,5209,5359,6599,5313,4927,3767,3719,3364,2856,2548,3480
"Afu1g04960",20693,16687,18329,9270,7006,5524,7359,4593,6591,3762,3283,4413
"Afu1g04970",2771,3257,3140,1668,1482,1129,2145,2594,1848,1132,1189,1674
"Afu1g04980",1541,1250,1310,1594,1170,1010,814,595,656,573,541,690
"Afu1g04990",8595,6926,7136,10314,10388,7495,3596,3845,3290,3528,3050,4208
"Afu1g05000",1043,902,842,685,536,435,767,957,683,692,761,933
"Afu1g05010",336,235,213,199,154,153,158,162,155,126,115,182
"Afu1g05020",440,474,467,1066,567,851,4500,2193,4115,1396,1348,1985
"Afu1g05030",8,9,12,6,5,5,0,5,4,3,3,2
"Afu1g05040",11295,9251,7719,12352,14241,9613,4518,9395,4038,7589,7108,9417
"Afu1g05050",633,507,443,634,752,473,478,545,418,430,500,560
"Afu1g05060",1599,1338,1296,2567,2010,1808,2567,2655,2341,3170,2867,4077
"Afu1g05070",401,304,282,256,243,179,488,465,403,502,483,632
