"gene_id","MOPS.2.hr...M.2.1","MOPS.2.hr...M.2.2","MOPS.2.hr...M.2.3","Lignin.2.hr...L.2.1","Lignin.2.hr...L.2.2","Lignin.2.hr...L.2.3","MOPS.20.min...M.20.1","MOPS.20.min...M.20.2","MOPS.20.min...M.20.3","Lignin.20.min...L.20.1","Lignin.20.min...L.20.2","Lignin.20.min...L.20.3"
"SAR0243",74,166,115,216,221,202,168,218,240,292,511,387
"SAR0244",0,0,0,0,3,1,1,0,1,3,2,1
"SAR0245",48,152,166,288,222,207,124,123,159,269,396,158
"SAR0247",660,1755,1320,1768,1622,1842,3196,3776,3962,1662,1031,930
"SAR0248",1402,2005,1650,1749,1988,2292,5271,6039,5022,2527,1433,1404
"SAR0249",4,6,4,3,2,4,0,5,3,3,2,3
"SAR0250",61,98,68,432,283,379,79,91,194,397,197,182
"SAR0251",259,487,375,493,473,537,1697,2239,2909,931,2407,2289
"SAR0253",1164,2305,1764,3667,3874,4081,5552,7597,6901,5445,5479,5387
"SAR0254",3186,3752,3149,5454,7685,7859,12248,15464,14997,11990,12987,13276
"SAR0255",5029,7242,6399,8228,10510,11115,15894,20553,20865,17173,16704,16186
"SAR0261",106,339,223,193,205,213,197,160,154,203,474,321
"SAR0262",850,889,767,1267,2459,2407,1791,1875,2211,2127,1167,1270
"SAR0263",63,102,74,278,302,221,217,223,205,436,308,288
"SAR0265",151,137,113,175,295,280,143,139,178,348,390,306
"SAR0266",945,1970,1640,2171,1819,1791,1042,803,869,1644,1263,1055
"SAR0267",313,352,363,447,469,452,351,285,305,467,421,441
"SAR0268",921,2319,1871,2744,1939,1703,849,725,768,1622,1367,1141
"SAR0269",2439,2031,1769,3456,5172,4557,1768,1654,1472,3916,3107,2691
"SAR0269a",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0270",159,202,170,186,122,193,63,110,127,141,134,112
"SAR0271",41,171,122,212,300,261,307,470,559,418,1480,997
"SAR0272",154,285,223,389,496,494,333,345,324,686,950,717
"SAR0274",240,341,287,457,543,573,287,403,478,340,742,541
"SAR0275",204,210,164,342,503,585,424,522,640,500,991,717
"SAR0276",90,190,143,294,373,370,415,434,568,342,1369,934
"SAR0277",948,1204,1163,1117,1482,2054,1692,3059,4055,2092,905,923
"SAR0278",396,677,683,978,1636,1697,239,395,327,723,409,291
"SAR0279",16187,24254,21125,38568,31905,33288,4150,7015,7796,6815,2274,1929
"SAR0280",574,1151,883,2345,2606,2719,1355,2379,2279,1685,1048,957
"SAR0281",56,69,99,167,171,174,79,147,143,124,79,60
"SAR0282",17,11,6,30,33,36,20,30,21,28,51,29
"SAR0283",78,109,69,223,257,275,116,147,144,231,197,184
"SAR0284",1823,2864,2270,8852,7268,6970,1435,1793,1826,4401,1894,1802
"SAR0285",67,117,98,391,352,285,76,71,87,202,87,67
"SAR0286",14,44,44,74,41,51,15,16,16,18,30,17
"SAR0287",1305,1794,1419,5978,4456,4383,1148,1380,1631,3150,1900,1742
"SAR0288",474,707,533,2036,1410,1472,494,524,671,1278,873,870
"SAR0289",548,523,443,1419,1256,1346,636,623,846,1227,853,872
