"gene_id","Q12SA014A0_20211014141226__2109SHr1014_2_S14_R1_001.bam","Q12SA023AX_20211014141226__2109SHr1023_11_S23_R1_001.bam","Q12SA013AQ_20211014141226__2109SHr1013_1_S13_R1_001.bam","Q12SA022AP_20211014141226__2109SHr1022_10_S22_R1_001.bam","Q12SA017AO_20211014141226__2109SHr1017_5_S17_R1_001.bam","Q12SA018AW_20211014141226__2109SHr1018_6_S18_R1_001.bam","Q12SA016AG_20211014141226__2109SHr1016_4_S16_R1_001.bam","Q12SA024A7_20211014141226__2109SHr1024_12_S24_R1_001.bam","Q12SA015A8_20211014141226__2109SHr1015_3_S15_R1_001.bam"
"ACCFDFCE_00332",172,114,338,92,182,167,231,64,113
"ACCFDFCE_00333",3948,4455,7316,2683,2956,2775,3820,1109,2196
"ACCFDFCE_00334",357,166,538,197,307,242,388,119,204
"ACCFDFCE_00335",157,177,234,150,200,207,287,94,82
"ACCFDFCE_00336",1372,789,2075,1028,1459,1302,1700,988,813
"ACCFDFCE_00337",4141,3360,7075,2817,5338,5048,6293,3997,2545
"ACCFDFCE_00338",647,634,1176,522,1123,1127,1351,1121,398
"ACCFDFCE_00339",162014,67720,224942,96649,116769,129970,146738,97303,92920
"ACCFDFCE_00340",103269,41848,152668,59795,86590,82359,103255,66620,59549
"ACCFDFCE_00341",6111,9391,9270,6178,5883,5822,6617,4959,3599
"ACCFDFCE_00342",2394,2735,3088,2262,2854,3332,3505,3503,1375
"ACCFDFCE_00343",7139,8276,9510,5153,8195,8052,9684,3921,3685
"ACCFDFCE_00344",4239,5128,6445,3285,4725,4089,5578,3491,2120
"ACCFDFCE_00345",8595,9862,12256,6147,7524,7205,8684,5693,5024
"ACCFDFCE_00347",2381,7931,1909,7317,3117,3453,3387,4254,698
"ACCFDFCE_00348",5460,18690,5547,17685,7642,8605,8643,11565,2175
"ACCFDFCE_00349",16120,38671,22428,40019,23245,23421,26698,25150,7715
"ACCFDFCE_00350",15115,31810,21046,35551,19113,21732,21896,22412,7704
"ACCFDFCE_00351",146,66,152,35,70,68,116,50,58
"ACCFDFCE_00353",82,79,111,49,80,59,110,31,34
"ACCFDFCE_00354",45,38,48,51,18,30,36,19,15
"ACCFDFCE_00355",95,90,139,91,104,77,124,51,38
"ACCFDFCE_00356",1505,3360,3284,1013,2128,2331,2512,896,1154
"ACCFDFCE_00357",2461,5207,5201,1526,3331,3308,3842,1286,1960
"ACCFDFCE_00358",53,31,73,40,36,28,35,6,23
"ACCFDFCE_00359",17,5,16,3,16,12,22,6,10
"ACCFDFCE_00360",20,5,15,7,6,10,10,10,6
"ACCFDFCE_00361",13,3,30,11,3,4,5,1,5
"ACCFDFCE_00362",36,12,53,9,24,26,29,10,16
