"gene_id","HG001.rep1","HG001.rep2","HG001.rep3","UTI.89.mixed.with.HG001.rep1","UTI.89.mixed.with.HG001.rep2","UTI.89.mixed.with.HG001.rep3"
"SAOUHSC_00520",1057,1375,1346,102,60,314
"SAOUHSC_00521",569,680,640,63,21,198
"SAOUHSC_00523",129,123,133,24,11,59
"SAOUHSC_00524",3216,3764,3565,454,602,1273
"SAOUHSC_00525",3520,3957,4077,515,425,1379
"SAOUHSC_00526",611,806,746,51,64,285
"SAOUHSC_00527",1233,1361,1392,126,95,448
"SAOUHSC_00528",1044,1340,1238,94,67,449
"SAOUHSC_00529",6364,7686,7286,617,481,2557
"SAOUHSC_00530",6211,7687,7022,1036,806,2949
"SAOUHSC_00531",112,122,127,2,10,19
"SAOUHSC_00532",202,207,194,16,20,128
"SAOUHSC_00533",282,324,271,18,27,95
"SAOUHSC_00534",26,16,25,0,2,12
"SAOUHSC_00535",87,92,91,11,4,125
"SAOUHSC_00536",186,174,189,8,21,61
"SAOUHSC_00537",1,2,2,0,1,0
"SAOUHSC_00538",27,37,53,4,5,18
"SAOUHSC_00539",60,72,68,3,3,23
"SAOUHSC_00540",31,24,42,1,11,15
"SAOUHSC_00541",27,31,33,2,2,10
"SAOUHSC_00542",56,55,63,2,6,38
"SAOUHSC_00543",44,39,49,12,7,28
"SAOUHSC_00544",559,640,685,87,98,617
"SAOUHSC_00545",1237,1359,1427,247,194,703
"SAOUHSC_00547",44,47,65,6,2,31
"SAOUHSC_00548",227,252,264,28,29,100
"SAOUHSC_00549",81,76,104,5,15,30
"SAOUHSC_00550",44,46,51,3,2,18
"SAOUHSC_00551",24,34,36,2,2,21
"SAOUHSC_00552",26,26,33,3,5,17
"SAOUHSC_00553",97,155,118,6,19,31
"SAOUHSC_00554",106,110,108,2,13,30
"SAOUHSC_00555",9,11,8,0,3,7
"SAOUHSC_00556",291,324,352,31,65,116
"SAOUHSC_00557",7,11,12,0,0,1
"SAOUHSC_00558",13,8,8,0,2,3
"SAOUHSC_00559",1,1,3,0,0,0
"SAOUHSC_00560",1,3,3,0,1,0
"SAOUHSC_00561",38,26,35,23,18,33
"SAOUHSC_00562",198,248,202,14,28,70
"SAOUHSC_00564",53,68,57,5,7,23
"SAOUHSC_00565",31,35,44,1,5,27
"SAOUHSC_00567",27,31,42,1,5,19
