"gene_id","S1.ctr_1h.BR1","S2.trt_1h.BR1","S3.ctr_3h.BR1","S4.trt_3h.BR1","S5.ctr_1h.BR2","S6.trt_1h.BR2","S7.ctr_3h.BR2","S8.trt_3h.BR2","S9.ctr_1h.BR3","S10.trt_1h.BR3","S11.ctr_3h.BR3","S12.trt_3h.BR3"
"t145_t084_09590",7390,1791,4715,14255,7366,30662,6900,7572,23209,13751,3367,6949
"t145_t084_09600",94162,43964,34110,201909,91268,729415,54207,94962,245882,337041,24641,82040
"t145_t084_09610",12971,2223,5160,17189,14666,52028,4737,7544,42020,21536,3191,8149
"t145_t084_09620",2698,355,1414,4119,2904,6782,1270,2396,9322,3230,883,1983
"t145_t084_09630",12013,1625,7723,14112,11781,22630,10893,10227,32839,16083,5978,10896
"t145_t084_09640",25815,13439,14106,72844,25578,193074,13252,33820,55894,122113,6784,35167
"t145_t084_09650",117217,18307,78752,96999,120971,218020,113060,50469,400568,135264,53498,65582
"t145_t084_09660",74789,10183,38675,40639,80255,120167,46376,19591,261869,61943,25084,29497
"t145_t084_09670",82867,33130,86895,241915,124971,454879,74017,89962,212692,201397,41630,123075
"t145_t084_09680",10500,2092,10059,15137,11589,25205,9296,7578,31614,14432,5324,8451
"t145_t084_09690",24452,4046,12241,25004,26181,63444,17376,11554,74551,27569,8563,13962
"t145_t084_09700",40087,5258,23957,28794,36448,75844,24580,14208,106960,39237,14922,19668
"t145_t084_09710",15233,1677,8930,5233,20074,20982,9745,2580,37291,9366,5467,4957
"t145_t084_09720",150,1,95,26,113,98,35,12,313,33,26,17
"t145_t084_09730",9215,3855,3465,26971,8359,67546,5172,11411,31775,28083,2885,11182
"t145_t084_09740",6373,2089,2354,11892,6089,35163,2465,5109,19521,15716,1655,4893
"t145_t084_09750",12341,3282,5714,17544,11966,57345,6509,7771,36149,27079,4103,7716
"t145_t084_09760",21463,4193,14937,31523,21323,75026,16385,16435,60041,39868,11120,19189
"t145_t084_09770",6541,1199,5819,10032,6759,20828,5984,5437,18366,11114,4527,6707
"t145_t084_09780",7319,1369,11884,14340,9686,22615,8702,7961,19741,11622,5403,9322
"t145_t084_09790",87234,23303,73825,171922,130309,367039,65806,69988,172247,145659,35509,87901
"t145_t084_09800",6214,1717,4754,15587,6125,29233,8803,8343,16725,18686,3563,6500
"t145_t084_09810",18592,4249,6637,21586,17835,60380,9705,9470,55794,28882,3938,7884
"t145_t084_09820",16180,3283,8938,17972,16352,48172,8492,8243,46457,27089,4829,9382
"t145_t084_09830",14721,2698,9019,15431,14567,40427,9753,8335,35071,25608,5822,10100
"t145_t084_09840",31257,4008,23376,22363,34059,58994,17939,11993,79053,37091,11917,16899
"t145_t084_09850",51409,6915,35080,38091,51017,79536,36473,18803,156312,41991,21221,23053
"t145_t084_09860",5796,2556,6933,16821,5900,31925,6372,10804,19169,17371,4103,9725
"t145_t084_09870",9334,2723,6292,14773,8418,35890,4840,8241,24953,17302,3673,8492
"t145_t084_09880",3656,1039,3211,5402,3587,12587,2114,2993,8286,5927,1725,3408
"t145_t084_09890",153632,17790,62242,144990,156361,384174,66169,66873,509071,175118,41822,59497
