"gene_id","SBAC317-PC1a.count","SBAC317-PC1b.count","SBAC317-PC1c.count","SBAC317-TSB1a.count","SBAC317-TSB1b.count","SBAC317-TSB1c.count"
"JYA73_RS12885",308,121,299,48,81,116
"JYA73_RS12890",278,79,186,25,60,76
"JYA73_RS12920",2129,793,2061,267,440,896
"JYA73_RS00015",647,1079,999,1618,2759,2448
"JYA73_RS00045",543,900,1131,1652,2632,3879
"JYA73_RS00155",737,1084,1246,2155,3877,5633
"JYA73_RS00200",95,252,215,286,498,688
"JYA73_RS00225",543,681,257,1529,2091,3342
"JYA73_RS00235",1695,13034,31314,18447,23441,59871
"JYA73_RS00310",29144,43123,20113,36759,57548,96741
"JYA73_RS00345",545,1854,899,8219,15175,17217
"JYA73_RS00365",316,419,632,1094,1684,2421
"JYA73_RS00370",4495,9095,7996,10654,17968,24023
"JYA73_RS00390",26,94,269,156,289,262
"JYA73_RS00510",968,4619,2615,29115,49902,50875
"JYA73_RS00515",238,278,242,1218,1978,2363
"JYA73_RS00520",141,122,26,3569,6884,8522
"JYA73_RS00525",58,246,184,2479,3531,6877
"JYA73_RS00530",8,83,35,547,868,1462
"JYA73_RS00535",17,96,52,691,1262,1889
"JYA73_RS00540",28,96,64,842,1490,1808
"JYA73_RS00545",28,159,121,1075,1957,2793
"JYA73_RS00605",368,652,1039,2161,3668,3804
"JYA73_RS00610",1443,3714,5577,14196,24046,26689
"JYA73_RS00625",2225,1493,1401,19239,42633,20555
"JYA73_RS00630",842,1029,776,9598,24029,12009
"JYA73_RS00635",1669,1856,1555,13914,36080,16512
"JYA73_RS00640",1180,1205,1037,6835,17788,6521
"JYA73_RS00655",504,670,1231,1041,1727,1845
"JYA73_RS00670",38,287,100,300,474,493
"JYA73_RS00675",110,849,311,1006,1467,1759
"JYA73_RS00680",149,702,435,907,1652,1833
"JYA73_RS00705",344,528,721,591,1156,1192
"JYA73_RS00710",283,358,655,473,928,825
"JYA73_RS00715",422,592,1234,1044,1955,2234
"JYA73_RS00720",356,510,1107,708,1505,1663
"JYA73_RS00725",823,848,1792,1223,2236,2270
"JYA73_RS00785",0,0,0,31,51,30
"JYA73_RS00790",660,1600,911,26547,49124,45242
"JYA73_RS00795",916,2323,1175,38869,66967,65114
"JYA73_RS00800",472,1316,615,18884,31967,30223
"JYA73_RS00805",598,2053,909,16736,28579,26666
"JYA73_RS00810",1119,3814,1544,17667,30364,28770
"JYA73_RS00855",470,700,954,986,1722,1983
"JYA73_RS01005",481,643,743,776,1184,1798
"JYA73_RS01060",10191,5737,10354,14098,25905,47298
"JYA73_RS01230",1602,4492,2449,3882,5326,9452
"JYA73_RS01260",359,347,743,1776,4159,2205
"JYA73_RS01265",182,195,414,1225,2337,1731
"JYA73_RS01270",158,203,309,305,600,562
"JYA73_RS01290",3070,5349,3239,4973,14154,6244
"JYA73_RS01315",49,121,171,150,211,297
"JYA73_RS01320",79,214,369,181,324,519
"JYA73_RS01340",220,190,933,3712,7210,4635
"JYA73_RS01345",18,46,156,677,1166,913
"JYA73_RS01350",38,61,200,1129,1678,1378
"JYA73_RS01355",103,130,540,3023,3919,4145
"JYA73_RS01365",39,121,90,152,202,263
"JYA73_RS01380",442,1210,947,1412,1731,2932
"JYA73_RS01385",961,2560,1912,2525,3758,5020
"JYA73_RS01390",447,901,697,883,1273,2389
"JYA73_RS01440",107,122,221,436,636,788
"JYA73_RS01445",179,298,480,757,1093,1290
"JYA73_RS01450",419,378,555,793,1378,1987
"JYA73_RS01460",936,1319,3143,2602,5249,5735
