"Synonym","Newman.TSB.Replicate.1","Newman.TSB.Replicate.2","Newman.TSB.Replicate.3","Newman.Minus.Glc.Replicate.1","Newman.Minus.Glc.Replicate.2","Newman.Minus.Glc.Replicate.3","arlRS.KO.TSB.Replicate.1","arlRS.KO.TSB.Replicate.2","arlRS.KO.TSB.Replicate.3","arlRS.KO.Minus.Glc.Replicate.1","arlRS.KO.Minus.Glc.Replicate.2","arlRS.KO.Minus.Glc.Replicate.3"
"NWMN_RS07790",31684,20745,29839,26000,27944,26386,20060,25502,26266,13494,13884,9095
"NWMN_RS07795",72558,37612,59083,54000,62027,54373,35176,52992,44418,25641,30285,16452
"NWMN_RS07800",23588,10761,23349,19561,19731,13018,15113,14716,18896,20187,12927,16325
"NWMN_RS07805",17,1,8,1,0,3,0,0,0,1,2,0
"NWMN_RS07815",61,50,56,57,73,58,61,49,41,27,43,14
"NWMN_RS07820",5207,3086,2757,5642,5432,3381,2955,3821,2777,2973,5668,1991
"NWMN_RS07825",1608,1136,1304,1642,3027,1647,1158,1524,1330,786,1267,453
"NWMN_RS07830",3324,3145,3682,3473,4439,3417,2909,3504,3831,2969,2596,2284
"NWMN_RS07835",48,16,17,5,4,3,39,37,21,30,12,9
"NWMN_RS07840",18796,9565,11935,13150,15318,8629,12175,19043,11231,26428,16864,26815
"NWMN_RS07845",5868,3022,5543,3249,4728,3185,3939,4178,4680,5174,2566,4093
"NWMN_RS07850",1652,1157,1751,1106,1374,971,1243,1653,1720,1466,775,1186
"NWMN_RS07855",1965,1236,883,1179,2530,1004,1557,1888,1167,735,1184,342
"NWMN_RS07860",9348,7564,12905,13399,24038,19225,5909,6695,7898,7569,5170,6296
"NWMN_RS07865",5,17,9,1,1,7,3,2,15,2,3,2
"NWMN_RS07870",412,239,207,246,317,99,212,326,223,119,167,94
"NWMN_RS07875",124,84,50,39,35,23,47,73,79,13,32,25
"NWMN_RS07880",133,136,146,59,47,47,76,84,87,67,42,25
"NWMN_RS07885",246,193,167,100,127,97,171,163,194,83,35,75
"NWMN_RS07890",414,345,481,242,404,246,165,250,178,167,91,136
"NWMN_RS07895",216,125,129,119,64,41,41,66,17,44,25,21
"NWMN_RS07900",9977,6901,12169,7251,7400,6224,7919,8787,11394,7773,5731,5282
"NWMN_RS07905",7010,5142,8766,7578,6302,5532,5719,5183,8549,8657,4644,5842
"NWMN_RS07910",2424,1785,1774,1700,2236,1379,1369,1902,1541,1309,1202,944
"NWMN_RS07915",3611,2801,3610,2400,3608,2396,2006,2944,2535,2199,2051,1841
"NWMN_RS07920",1223,1243,1473,1128,1346,963,1042,1303,1097,997,765,774
"NWMN_RS07925",170,148,240,154,288,126,88,200,124,160,179,86
"NWMN_RS07930",15049,7113,8223,5626,5869,6130,4186,6669,4759,4669,3584,3696
"NWMN_RS07935",8779,4376,5346,3152,3265,3451,2805,3284,2943,2617,1805,1860
"NWMN_RS07940",800,324,607,476,619,541,503,558,465,505,485,368
