"gene_id","WT_T6_Rep1_S62","WT_T6_Rep2_S63","WT_T6_Rep3_S64","walR_T6_Rep1_S71","walR_T6_Rep2_S72","walR_T6_Rep3_S73","tunR_T6_Rep1_S80","tunR_T6_Rep2_S81","tunR_T6_Rep3_S82"
"SA_RS08970",64,19,664,23,354,432.5,1028.5,331.5,1067.5
"SA_RS08975",493,90,5178,117,2771,3554,7039,1904,7671
"SA_RS08980",149,4,969,16,683,602,827,400,826
"SA_RS08985",10,0,261,0,96,237,112,18,133
"SA_RS08990",29,0,407.5,0,178,248.5,223,84.5,254.5
"SA_RS08995",10,12,367.5,7,147,235.5,198,21.5,212.5
"SA_RS09000",24,0,275,6,120,114,231,50,198
"SA_RS09005",1886,201,10472,328,6440,7361,12203,3644,13580
"SA_RS09010",1,0,153,0,29,75,41,12,47
"SA_RS09015",29,2,232,0,100.5,120,169,52.5,183
"SA_RS09020",8,0,227,0,104.5,124,151,26.5,141
"SA_RS14765",2,0,62,2,19,45,49,26,68
"SA_RS09045",672,77,2782,151,1669,1979,2842,1632,3610
"SA_RS09050",887,193,6439,272,3672,4661,5484,2239,6812
"SA_RS09055",977,244,6478,256,3742,4460,4458,2929,5232
"SA_RS09060",473,248,5735,89,848,1833,1805,2301,5491
"SA_RS09065",332,53,1337,81,988,1031.5,1096,1259.5,1513.5
"SA_RS09070",220,23,806,42,568,663.5,799,484.5,1042.5
"SA_RS09075",212.5,7,1157.5,14,861,1042.5,1129,463,1454.5
"SA_RS09080",307,48,1753.5,26.5,1165.5,1303,1533,957,1929
"SA_RS09085",518.5,60,3118,106.5,2255.5,2314.5,2601,1614,3382.5
"SA_RS09090",34,26,130,13,76,66,174,166,254
"SA_RS09095",870,1417,10811,436,2002,4238,8310,3977,15006
"SA_RS09100",808,387,12117,108,2057,3699,6792,3006,12039
"SA_RS09105",39,57,996.5,2,134,340.5,586.5,262,1265
"SA_RS09110",48,0,548.5,0,135,190.5,290.5,179,411
"SA_RS09115",51,20,828,14,184,276,437,345,631
"SA_RS14770",47,22,514,28,176,238,360,27,518
"SA_RS15155",43,4,105,10,112,124,67,52,171
"SA_RS09135",0,0,25.5,0,20.5,27,36.5,2.5,47
"SA_RS15160",2.5,0,61.5,1,42,39.5,65,13,65.5
"SA_RS09140",15.5,0,255,7,107.5,167.5,198.5,79.5,193.5
"SA_RS09145",106.5,53.5,1448,69.5,979.5,1235,1479,315.5,1641
"SA_RS09150",269.5,81.5,1317,84.5,914.5,958,1045,682.5,1494
"SA_RS09155",0,0,2,0,2,1,4,0,0
"SA_RS09160",12,4,60,0,40,34,72,36,109
"SA_RS15165",0,0,2.5,0,1,2.5,1.5,1,2.5
