"gene_id","WT_3H_R1_GE","WT_3H_R2_GE","pEPSA_Teg49_Comp_3H_R1_GE","pEPSA_Teg49_Comp_3H_R2_GE","Teg49_mutant_3H_R1_GE","Teg49_mutant_3H_R2_GE"
"SAOUHSC_00480",8556,11805,13167,14763,12296,12303
"SAOUHSC_00481",1423,1769,1807,1832,1539,1519
"SAOUHSC_00482",3734,4836,5957,6322,5279,5314
"SAOUHSC_00483",10775,11970,18093,18455,14768,14985
"SAOUHSC_00484",3222,3959,4704,5399,4131,4217
"SAOUHSC_00485",3931,4981,5707,6401,5360,5469
"SAOUHSC_00486",59597,85988,95640,106800,86443,87777
"hslO",3478,4768,4128,4156,2748,2677
"SAOUHSC_00488",38275,54873,52894,51175,55918,57956
"SAOUHSC_00489",697,995,964,1112,918,967
"SAOUHSC_00490",524,789,771,804,657,612
"SAOUHSC_00491",816,1070,1081,1156,985,1064
"SAOUHSC_00492",76,82,110,129,88,89
"lysS",23972,30544,38406,41842,34902,34731
"SAOUHSC_R00016",223,56,211,0,18,74
"SAOUHSC_T00059",286,632,303,261,105,110
"SAOUHSC_T00053",1,28,113,95,27,33
"SAOUHSC_T00035",1,0,2,1,0,1
"SAOUHSC_T00021",913,761,1377,1065,584,542
"SAOUHSC_T00030",1684,600,2340,1552,725,746
"SAOUHSC_T0004",97,61,98,97,0,56
"SAOUHSC_T00044",29,29,22,21,7,0
"SAOUHSC_T0001",815,471,2304,659,244,289
"SAOUHSC_R0002",310580,250490,205590,133739,113964,243853
"SAOUHSC_R0007",53241,54090,47857,33219,30562,59504
"SAOUHSC_R00012",222,75,221,0,19,78
"SAOUHSC_00497",670,879,1054,1221,1211,1237
"SAOUHSC_00499",4218,6256,5805,5599,6654,6969
"SAOUHSC_00500",3654,5327,5505,5333,6512,6566
"SAOUHSC_00501",5707,6483,8664,9251,7441,7503
"SAOUHSC_00502",4760,5759,8005,9039,8472,8970
"SAOUHSC_00503",4414,5590,6844,7489,7296,7608
"SAOUHSC_00504",7799,10417,12072,13260,14468,14769
"SAOUHSC_00505",38680,50343,59219,62447,69978,71965
"SAOUHSC_00507",6661,8936,9565,9761,7705,7784
"SAOUHSC_00508",7852,9938,13767,15915,13512,13501
"gltX",13180,18210,20810,23186,19491,19138
"SAOUHSC_00510",5923,8113,8556,9379,14410,14147
"cysS",17855,24016,25362,29030,42353,42081
"SAOUHSC_00512",5669,7714,7897,9102,13183,13025
"SAOUHSC_00513",9102,12733,13024,14002,19591,19258
"SAOUHSC_00514",10095,13260,15913,18744,23976,24949
"SAOUHSC_00515",8075,10645,12662,16005,20217,20599
"secE",2792,3403,3672,3902,3553,3900
"SAOUHSC_00517",9649,13649,13362,13496,12385,12458
"rplK",41237,54896,67832,72809,52586,52064
"rplA",65184,79545,96346,98390,70034,68836
"rplJ",54370,61993,85526,84358,58501,57333
"rplL",32433,34876,44761,39768,26295,27487
"SAOUHSC_00523",5074,6602,7776,8390,6355,6226
