"gene_id","NRSA384.WT.1","NRSA384.WT.2","NRSA384.WT.3","NRSA384.389.4","NRSA384.389.5","NRSA384.389.6"
"SAUSA300_0843",494,605,449,445,522,485
"SAUSA300_1988",49940,83970,47149,46116,32617,50183
"SAUSA300_2200",1262,1038,1723,8817,7120,9483
"SAUSA300_2394",2160,2427,2266,3761,3190,4222
"SAUSA300_0832",2004,2085,2163,3954,3153,4009
"SAUSA300_0208",125,162,199,1180,1426,1673
"SAUSA300_2248",564,591,778,3365,2954,3899
"SAUSA300_1132",68,84,125,770,588,736
"SAUSA300_2560",496,547,590,1004,806,935
"SAUSA300_2583",781,669,1024,4794,4066,5284
"SAUSA300_1561",70,98,97,676,610,667
"SAUSA300_1359",1253,1074,1595,7929,6160,8427
"SAUSA300_2530",299,284,317,528,413,509
"SAUSA300_0345",38,49,59,419,295,407
"SAUSA300_1740",714,682,1210,5777,5964,7829
"SAUSA300_1984",1590,2039,1487,1489,1769,1595
"SAUSA300_2362",14267,16140,15548,21024,22333,23080
"SAUSA300_1212",593,715,430,412,401,488
"SAUSA300_0904",1476,1333,1647,2632,2481,2826
"SAUSA300_0818",2257,2078,2879,12784,11846,16822
"SAUSA300_2179",826,624,1500,9713,8475,10601
"SAUSA300_2324",799,837,988,5706,6090,9995
"SAUSA300_0865",14894,14804,18672,30215,26628,33078
"SAUSA300_0689",1515,1560,1969,3464,2787,3592
"SAUSA300_2142",65793,65102,80413,104460,104778,134501
"SAUSA300_1894",1759,1626,2168,3636,3111,3818
"SAUSA300_0307",9791,10472,8897,13943,11287,12194
"SAUSA300_0831",469,579,380,375,412,432
"SAUSA300_0071",505,630,484,688,589,704
"SAUSA300_2382",293,303,330,516,480,546
"SAUSA300_0282",327,314,399,1988,1597,2008
"SAUSA300_0942",300,325,219,207,221,187
"SAUSA300_1540",12544,11643,16309,24100,20086,27819
"SAUSA300_1367",2829,2874,3162,5779,4889,6287
"SAUSA300_1545",3810,5056,2712,2964,2389,2590
"SAUSA300_2528",1566,1795,1318,1932,1244,1778
"SAUSA300_0010",125,130,172,853,883,1005
"SAUSA300_1505",1745,1992,2094,3831,2945,3931
"SAUSA300_0259",58,56,81,441,362,457
"SAUSA300_0288",1699,1467,2096,10262,7937,11333
"SAUSA300_0779",328,394,384,521,536,546
"SAUSA300_1107",1112,1819,864,714,672,697
"SAUSA300_2489",473,458,619,986,815,1054
"SAUSA300_0528",9492,7987,14641,78610,70089,85180
"SAUSA300_2205",1380,1338,2134,10703,8633,10149
"SAUSA300_0025",794,797,1087,5035,3928,5067
"SAUSA300_0292",1856,2329,1373,1150,1399,1486
"SAUSA300_0620",19248,18984,26123,126326,99964,132271
"SAUSA300_2449",691,755,1046,5440,6329,9609
"SAUSA300_2180",2168,1661,3444,21698,16424,24086
"SAUSA300_0786",395,438,379,444,505,462
"SAUSA300_2209",2171,2213,2191,3756,3286,4295
