"gene_id","Un_A_count","Ox_A_count","Lor_A_count","Un_B_count","Ox_B_count","Lor_B_count","Co_B_count","Un_C_count","Ox_C_count","Lor_C_count","Co_C_count"
"Novel00490",14,10,15,13,14,4,19,16,8,10,13
"KNNFDEDG_00446",6120,2431,1160,2501,2294,2381,1340,2692,1440,1004,1835
"Novel00497",19,8,13,7,13,7,10,21,7,10,12
"KNNFDEDG_00444",538,355,630,483,359,833,766,479,367,826,638
"KNNFDEDG_00445",2209,893,2539,2651,1416,2348,3142,2579,1649,3290,2550
"KNNFDEDG_00442",994,615,2983,904,733,5131,4503,902,782,4616,3148
"KNNFDEDG_00443",1163,698,4071,1211,815,5474,5413,1027,884,5672,3435
"KNNFDEDG_01265.t00",1451,415,1204,1799,495,745,918,1819,547,1133,1251
"KNNFDEDG_00441",2786,2178,29381,3236,3651,36783,38628,2772,4165,44030,26830
"KNNFDEDG_01772.t00",28,9,7,42,4,7,2,24,12,8,0
"Novel00014",2,4,0,16,13,4,17,13,17,8,10
"KNNFDEDG_01947",48,25,39,23,25,56,23,34,22,35,32
"KNNFDEDG_01174.t00",32,12,7,28,8,21,25,32,8,18,18
"KNNFDEDG_01957",610,252,235,605,310,224,240,610,394,230,230
"KNNFDEDG_02257.t00",29,21,51,53,23,15,66,36,28,42,52
"KNNFDEDG_01955",507,133,165,441,145,106,90,417,208,142,114
"Novel00129",0,0,3,0,0,0,0,0,0,0,0
"KNNFDEDG_01958",2880,1024,1958,2706,1301,1544,1504,2659,1419,1912,1391
"KNNFDEDG_00928.t00",66,32,9,69,19,17,3,72,20,14,9
"Novel00158",2,1,2,3,6,0,6,4,0,2,0
"Novel00159",1,0,1,1,0,1,0,1,0,0,0
"Novel00156",6,1,1,1,1,0,2,8,1,0,4
"Novel00157",16,5,2,1,4,8,6,11,3,3,3
"Novel00154",56,25,13,46,21,17,19,36,40,45,16
"KNNFDEDG_00685.t00",1120,682,2066,1263,862,1646,2455,1213,1034,2199,2132
"Novel00152",1,1,0,0,0,1,1,0,2,0,0
"Novel00153",8,2,0,0,0,1,0,0,0,0,6
"KNNFDEDG_01892.t00",26,21,45,60,29,41,41,56,34,50,33
"Novel00151",1,0,0,0,0,0,0,0,0,0,0
"KNNFDEDG_01536.t00",414,655,1539,670,1045,1080,1437,563,1418,1544,1127
"KNNFDEDG_00080.t00",2,4,13,21,6,1,32,23,9,26,15
"KNNFDEDG_00659.t00",2970,2048,4002,3450,2734,3407,5403,3132,3043,4315,5446
"Novel00377",51,11,38,70,25,39,43,83,25,52,36
"Novel00374",2,0,0,0,0,3,1,5,3,0,0
"KNNFDEDG_02603.t00",1135,303,856,2082,422,534,670,1818,526,724,668
"Novel00372",24,25,18,28,34,28,9,29,46,21,16
"Novel00373",5,4,6,5,0,3,3,0,10,1,4
"Novel00370",17,3,5,4,2,1,3,0,2,0,3
"KNNFDEDG_00708.t00",0,0,0,0,0,0,0,1,0,0,0
