"gene_id","QOBWO025A5_20210322102047__S10_R1_001.bam","QOBWO026AD_20210322102047__S11_R1_001.bam","QOBWO027AL_20210322102047__S12_R1_001.bam","QOBWO028AT_20210322102047__S13_R1_001.bam","QOBWO029A3_20210322102047__S14_R1_001.bam","QOBWO030A6_20210322102047__S15_R1_001.bam","QOBWO070A0_20210322102047__S16_R1_001.bam","QOBWO071A8_20210322102047__S17_R1_001.bam","QOBWO072AG_20210322102047__S18_R1_001.bam"
"KQU62_RS06205",242,518,303,1299,1439,1317,931,554,515
"KQU62_RS06210",3,6,7,14,6,9,5,0,2
"KQU62_RS06215",20,21,20,43,30,31,9,2,9
"KQU62_RS06220",2,17,7,15,16,12,13,3,2
"KQU62_RS06225",4,23,6,26,25,16,8,10,8
"KQU62_RS06230",4,11,2,13,18,15,11,3,4
"KQU62_RS06235",26,35,32,50,49,50,30,13,26
"KQU62_RS06240",31,102,57,81,123,113,38,32,35
"KQU62_RS06245",3824,8359,5394,7582,9886,8656,5837,3215,3251
"KQU62_RS06250",1593,3194,2192,2979,3845,3309,2228,1455,1470
"KQU62_RS06255",2007,4322,2647,4356,5514,5109,3282,1773,1713
"KQU62_RS06260",644,1386,817,1278,1593,1348,962,509,511
"KQU62_RS06265",1767,3825,2452,4244,4957,4651,3172,1733,1810
"KQU62_RS06270",179,399,250,572,722,718,407,181,212
"KQU62_RS06275",714,1484,955,1177,1709,1811,1083,597,590
"KQU62_RS06280",7223,15324,10015,13054,16624,15447,10145,5297,5393
"KQU62_RS06285",19400,41979,25551,24197,33592,31533,18509,10687,11889
